Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Dilithium2,0.8141,6.3949,0.8183,8.0273
2,Dilithium2,0.7723,1.2923,0.7967,2.8613
3,Dilithium2,0.7412,7.4148,0.7394,8.8954
4,Dilithium2,0.6799,1.1789,0.7262,2.5850
5,Dilithium2,0.6657,1.1635,0.7214,2.5506
6,Dilithium2,0.6773,2.9587,0.7178,4.3538
7,Dilithium2,0.6697,1.1520,0.7192,2.5409
8,Dilithium2,0.8436,3.2788,0.7897,4.9121
9,Dilithium2,0.7332,2.8655,1.4629,5.0616
10,Dilithium2,0.7300,1.8131,0.8083,3.3514
11,Dilithium2,0.7463,1.6797,0.7769,3.2029
12,Dilithium2,0.9156,2.0483,0.7287,3.6926
13,Dilithium2,0.6736,3.3640,0.7286,4.7662
14,Dilithium2,0.6794,1.5930,0.7409,3.0133
15,Dilithium2,0.6679,1.1527,0.7288,2.5494
16,Dilithium2,0.6607,3.8591,0.8963,5.4161
17,Dilithium2,0.6757,1.1423,0.7203,2.5383
18,Dilithium2,0.6618,3.6984,0.7217,5.0819
19,Dilithium2,0.6651,2.8923,0.7163,4.2737
20,Dilithium2,0.6661,1.5744,0.7250,2.9655
21,Dilithium2,0.6652,3.9789,0.7146,5.3587
22,Dilithium2,0.6592,2.5371,0.7116,3.9079
23,Dilithium2,0.6558,5.7613,0.7110,7.1281
24,Dilithium2,0.6476,1.1369,0.7140,2.4985
25,Dilithium2,0.6587,2.6953,0.8353,4.1893
26,Dilithium2,0.6569,2.1908,0.7177,3.5654
27,Dilithium2,0.6522,1.6533,0.7181,3.0236
28,Dilithium2,0.6501,2.1021,0.7139,3.4661
29,Dilithium2,0.6603,1.9955,0.7086,3.3644
30,Dilithium2,0.6541,4.4070,0.7157,5.7768
31,Dilithium2,0.6545,4.3785,0.7161,5.7491
32,Dilithium2,0.6685,1.1460,0.7184,2.5329
33,Dilithium2,0.6603,3.1370,0.7108,4.5081
34,Dilithium2,0.6669,2.1021,0.7164,3.4854
35,Dilithium2,0.6549,1.7277,0.7124,3.0950
36,Dilithium2,0.6633,3.9121,0.7110,5.2864
37,Dilithium2,0.6550,3.5674,0.7086,4.9310
38,Dilithium2,0.6627,1.1276,0.7107,2.5010
39,Dilithium2,0.6512,1.1325,0.7076,2.4913
40,Dilithium2,0.6620,4.1019,0.7047,5.4686
41,Dilithium2,0.6626,4.0816,0.7064,5.4506
42,Dilithium2,0.6555,5.8194,0.7063,7.1812
43,Dilithium2,0.6629,7.6295,0.7118,9.0042
44,Dilithium2,0.6583,1.1268,0.7047,2.4898
45,Dilithium2,0.6528,1.1279,0.7074,2.4881
46,Dilithium2,0.6548,3.4547,0.7111,4.8206
47,Dilithium2,0.6488,1.1350,0.7019,2.4857
48,Dilithium2,0.6623,1.7016,0.7085,3.0724
49,Dilithium2,0.6637,3.4083,0.7097,4.7817
50,Dilithium2,0.6678,2.1600,0.7119,3.5397
51,Dilithium2,0.6545,4.0857,0.7103,5.4505
52,Dilithium2,0.6634,2.5027,0.7038,3.8699
53,Dilithium2,0.7587,2.3833,0.7062,3.8482
54,Dilithium2,0.6608,6.5201,1.0519,8.2328
55,Dilithium2,0.6966,3.1394,0.5897,4.4257
56,Dilithium2,0.5413,0.9484,0.4797,1.9694
57,Dilithium2,0.6431,3.3972,0.4762,4.5165
58,Dilithium2,0.4112,1.2427,0.4694,2.1233
59,Dilithium2,0.4061,0.8107,0.4687,1.6855
60,Dilithium2,0.4010,5.8937,0.4710,6.7657
61,Dilithium2,0.6071,3.3131,0.4631,4.3833
62,Dilithium2,0.4020,1.8897,0.4678,2.7595
63,Dilithium2,0.3956,4.8617,0.4672,5.7245
64,Dilithium2,0.3949,1.5506,0.6123,2.5578
65,Dilithium2,0.4001,1.1396,0.4630,2.0027
66,Dilithium2,0.3919,1.2135,0.4617,2.0671
67,Dilithium2,0.3949,1.8785,0.4649,2.7383
68,Dilithium2,0.3952,2.9362,0.4706,3.8020
69,Dilithium2,0.3909,5.5947,0.4679,6.4535
70,Dilithium2,0.4062,4.4586,0.4761,5.3409
71,Dilithium2,0.3953,0.7983,0.4617,1.6553
72,Dilithium2,0.3930,0.7992,0.4666,1.6588
73,Dilithium2,0.3929,2.0267,0.4637,2.8833
74,Dilithium2,0.3949,1.4702,0.4576,2.3227
75,Dilithium2,0.3925,1.1365,0.4569,1.9859
76,Dilithium2,0.3907,1.4614,0.4564,2.3085
77,Dilithium2,0.3984,1.2031,0.4578,2.0593
78,Dilithium2,0.3974,2.8179,0.4606,3.6759
79,Dilithium2,0.3958,3.3195,0.4627,4.1780
80,Dilithium2,0.4001,2.1925,0.4574,3.0500
81,Dilithium2,0.4040,1.8721,0.4572,2.7333
82,Dilithium2,0.3922,1.4612,0.5782,2.4316
83,Dilithium2,0.3997,1.8933,0.4662,2.7592
84,Dilithium2,0.4024,0.7965,0.4653,1.6642
85,Dilithium2,0.3907,2.5941,0.4581,3.4429
86,Dilithium2,0.3976,1.7984,0.4578,2.6538
87,Dilithium2,0.3914,3.8942,0.4682,4.7538
88,Dilithium2,0.4005,1.7913,0.4442,2.6360
89,Dilithium2,0.4131,5.4171,0.3924,6.2226
90,Dilithium2,0.3461,1.9054,0.3765,2.6280
91,Dilithium2,0.5644,1.1962,0.3022,2.0628
92,Dilithium2,0.2507,1.2803,0.2144,1.7454
93,Dilithium2,0.2135,0.8025,0.2171,1.2331
94,Dilithium2,0.2157,0.7888,0.2193,1.2238
95,Dilithium2,0.2146,0.4456,0.2117,0.8719
96,Dilithium2,0.2255,0.8920,0.2128,1.3303
97,Dilithium2,0.2207,0.6968,0.2106,1.1281
98,Dilithium2,0.2162,0.9307,0.2133,1.3602
99,Dilithium2,0.2203,0.4489,0.2101,0.8793
100,Dilithium2,0.2100,2.0382,0.2106,2.4588
101,Dilithium2,0.2099,0.8380,0.2127,1.2606
102,Dilithium2,0.2126,1.0332,0.2116,1.4574
103,Dilithium2,0.2166,0.8625,0.2139,1.2930
104,Dilithium2,0.2118,0.8069,0.2087,1.2274
105,Dilithium2,0.2070,1.6202,0.2072,2.0344
106,Dilithium2,0.3406,0.6908,0.2073,1.2387
107,Dilithium2,0.2093,0.8666,0.2121,1.2880
108,Dilithium2,0.2115,0.4466,0.2069,0.8650
109,Dilithium2,0.2156,0.6149,0.2071,1.0376
110,Dilithium2,0.2184,1.2639,0.2071,1.6894
