Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Dilithium5,0.3093,0.4375,0.3181,1.0649
2,Dilithium5,0.2906,0.6399,0.3160,1.2465
3,Dilithium5,0.2890,1.0970,0.3616,1.7476
4,Dilithium5,0.2845,1.5527,0.3227,2.1599
5,Dilithium5,0.2864,0.6278,0.4900,1.4042
6,Dilithium5,0.2914,0.6210,0.3034,1.2158
7,Dilithium5,0.3096,1.7424,0.3085,2.3605
8,Dilithium5,0.2853,0.4251,0.3055,1.0159
9,Dilithium5,0.2847,0.7827,0.3591,1.4265
10,Dilithium5,0.3112,3.2064,0.3082,3.8258
11,Dilithium5,0.2928,2.4145,0.5428,3.2501
12,Dilithium5,0.3096,0.4381,0.3037,1.0514
13,Dilithium5,0.3030,0.7691,0.3153,1.3874
14,Dilithium5,0.2902,2.3350,0.3251,2.9503
15,Dilithium5,0.2885,0.5867,0.4301,1.3053
16,Dilithium5,0.2878,1.2164,0.3123,1.8165
17,Dilithium5,0.2881,1.7159,0.3053,2.3093
18,Dilithium5,0.2873,0.7464,0.3094,1.3431
19,Dilithium5,0.2815,0.4245,0.3170,1.0230
20,Dilithium5,0.2919,1.7045,0.5476,2.5440
21,Dilithium5,0.3004,0.9236,0.3224,1.5464
22,Dilithium5,0.2886,0.6188,0.3020,1.2094
23,Dilithium5,0.4638,1.0434,0.3138,1.8210
24,Dilithium5,0.2873,0.4304,0.3162,1.0339
25,Dilithium5,0.2864,1.0483,0.2994,1.6341
26,Dilithium5,0.3028,1.2203,0.3025,1.8256
27,Dilithium5,0.2972,0.4364,0.4549,1.1885
28,Dilithium5,0.2961,0.4357,0.3005,1.0323
29,Dilithium5,0.2904,0.4365,0.3026,1.0295
30,Dilithium5,0.2895,0.7033,0.3053,1.2981
31,Dilithium5,0.2805,1.3875,0.3021,1.9701
32,Dilithium5,0.2785,0.9466,0.3058,1.5309
33,Dilithium5,0.2997,2.0145,0.2982,2.6124
34,Dilithium5,0.2862,0.4491,0.2995,1.0348
35,Dilithium5,0.2867,1.2764,0.3227,1.8858
36,Dilithium5,0.2982,0.4465,0.3012,1.0459
37,Dilithium5,0.2847,0.6082,0.2965,1.1894
38,Dilithium5,0.2864,0.5929,0.3072,1.1865
39,Dilithium5,0.2985,1.2143,0.3051,1.8179
40,Dilithium5,0.2857,0.4579,0.3074,1.0510
41,Dilithium5,0.2838,1.3558,0.4162,2.0558
42,Dilithium5,0.2968,1.0539,0.2961,1.6468
43,Dilithium5,0.2876,0.6018,0.3992,1.2886
44,Dilithium5,0.2784,0.7638,0.3070,1.3492
45,Dilithium5,0.2804,0.9335,0.2931,1.5070
46,Dilithium5,0.3891,0.4320,0.2970,1.1181
47,Dilithium5,0.2758,3.6227,0.2975,4.1960
48,Dilithium5,0.2963,0.4234,0.2947,1.0144
49,Dilithium5,0.2938,0.5664,0.3100,1.1702
50,Dilithium5,0.2875,0.4335,0.4387,1.1597
