Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Falcon512,grande,9.7589,1.5663,0.1232,11.4484
2,Falcon512,grande,9.5566,1.4603,0.1238,11.1407
3,Falcon512,grande,13.3112,1.2243,0.1199,14.6554
4,Falcon512,grande,8.7060,1.3366,0.1208,10.1634
5,Falcon512,grande,14.0500,1.5802,0.1237,15.7539
6,Falcon512,grande,10.2738,1.4174,0.1233,11.8145
7,Falcon512,grande,7.4329,1.3838,0.1222,8.9389
8,Falcon512,grande,7.9469,1.3364,0.1241,9.4074
9,Falcon512,grande,8.7608,1.2986,0.1272,10.1866
10,Falcon512,grande,10.8036,1.3734,0.1256,12.3026
11,Falcon512,grande,8.8005,1.2734,0.1202,10.1941
12,Falcon512,grande,11.7042,1.3403,0.1227,13.1672
13,Falcon512,grande,11.2009,1.2075,0.1901,12.5985
14,Falcon512,grande,7.7156,1.3179,0.1235,9.1570
15,Falcon512,grande,12.0850,1.2803,0.1196,13.4849
16,Falcon512,grande,7.8562,1.4270,0.1216,9.4048
17,Falcon512,grande,7.5422,1.3522,0.1231,9.0175
18,Falcon512,grande,8.1503,1.8074,0.1285,10.0862
19,Falcon512,grande,19.6183,1.2869,0.1230,21.0282
20,Falcon512,grande,9.2451,1.3467,0.1275,10.7193
21,Falcon512,grande,14.0125,1.2972,0.1236,15.4333
22,Falcon512,grande,9.2123,1.3291,0.1258,10.6672
23,Falcon512,grande,7.7716,1.3867,0.1259,9.2842
24,Falcon512,grande,16.0443,1.3856,0.1277,17.5576
25,Falcon512,grande,15.9298,1.3160,0.1276,17.3734
26,Falcon512,grande,7.4384,1.4190,0.1266,8.9840
27,Falcon512,grande,18.4620,1.3111,0.1261,19.8992
28,Falcon512,grande,11.4727,1.3923,0.1290,12.9940
29,Falcon512,grande,15.6798,1.2080,0.1266,17.0144
30,Falcon512,grande,7.8119,1.3167,0.1285,9.2571
31,Falcon512,grande,10.3430,1.2802,0.1276,11.7508
32,Falcon512,grande,9.6590,1.3445,0.1278,11.1313
33,Falcon512,grande,12.9178,1.3542,0.1386,14.4106
34,Falcon512,grande,13.9689,1.3511,0.1263,15.4463
35,Falcon512,grande,10.2942,1.3079,0.1250,11.7271
36,Falcon512,grande,10.5083,1.3929,0.1258,12.0270
37,Falcon512,grande,7.4668,1.2039,0.1249,8.7956
38,Falcon512,grande,9.4047,1.3721,0.1252,10.9020
39,Falcon512,grande,7.8302,1.2218,0.1247,9.1767
40,Falcon512,grande,8.8618,1.3277,0.1278,10.3173
41,Falcon512,grande,14.6751,1.2706,0.1292,16.0749
42,Falcon512,grande,8.4022,1.3244,0.1267,9.8533
43,Falcon512,grande,8.2706,1.3839,0.1242,9.7787
44,Falcon512,grande,10.5317,1.1652,0.2594,11.9563
45,Falcon512,grande,9.9065,1.3241,0.1263,11.3569
46,Falcon512,grande,10.9759,1.3157,0.1255,12.4171
47,Falcon512,grande,7.7866,1.3528,0.1368,9.2762
48,Falcon512,grande,8.4414,1.1661,0.1235,9.7310
49,Falcon512,grande,21.9504,1.2659,0.1412,23.3575
50,Falcon512,grande,7.5182,1.2936,0.1317,8.9435
51,Falcon512,grande,14.9997,1.1978,0.1227,16.3202
52,Falcon512,grande,10.2334,1.3476,0.1276,11.7086
