Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
1,kyber1024,0.1441,0.1891,0.1938,0.5270
2,kyber1024,0.1071,0.1182,0.1473,0.3726
3,kyber1024,0.0956,0.1269,0.1800,0.4025
4,kyber1024,0.0950,0.1151,0.1534,0.3635
5,kyber1024,0.1199,0.1663,0.1932,0.4794
6,kyber1024,0.1414,0.1473,0.2041,0.4928
7,kyber1024,0.1422,0.1803,0.1723,0.4948
8,kyber1024,0.0958,0.1267,0.1529,0.3754
9,kyber1024,0.1088,0.1155,1.3692,1.5935
10,kyber1024,0.1038,0.1326,0.1555,0.3919
11,kyber1024,0.2909,0.1160,0.1478,0.5547
12,kyber1024,0.0975,0.1329,0.1497,0.3801
13,kyber1024,0.0950,0.1148,0.1478,0.3576
14,kyber1024,0.0936,0.1140,0.1470,0.3546
15,kyber1024,0.1033,0.1140,0.1681,0.3854
16,kyber1024,0.0956,0.1141,0.1480,0.3577
17,kyber1024,0.0949,0.1151,0.1574,0.3674
18,kyber1024,0.0964,0.1135,0.1458,0.3557
19,kyber1024,0.0953,0.1144,0.1460,0.3557
20,kyber1024,0.0939,0.1137,0.1493,0.3569
21,kyber1024,0.0941,0.1137,0.1447,0.3525
22,kyber1024,0.0939,0.1142,0.1451,0.3532
23,kyber1024,0.0956,0.1222,0.1462,0.3640
24,kyber1024,0.0956,0.1144,0.1452,0.3552
25,kyber1024,0.0950,0.1148,0.1463,0.3561
26,kyber1024,0.1200,0.1153,0.1457,0.3810
27,kyber1024,0.0965,0.1155,0.1453,0.3573
28,kyber1024,0.0971,0.1166,0.1525,0.3662
29,kyber1024,0.0961,0.1153,0.1474,0.3588
30,kyber1024,0.0955,0.3070,0.1455,0.5480
31,kyber1024,0.1048,0.1141,0.1454,0.3643
32,kyber1024,0.0991,0.1192,0.1508,0.3691
33,kyber1024,0.0956,0.1151,0.1556,0.3663
34,kyber1024,0.0987,0.1171,0.1499,0.3657
35,kyber1024,0.0935,0.1137,0.1458,0.3530
36,kyber1024,0.0935,0.1129,0.1498,0.3562
37,kyber1024,0.0950,0.1143,0.1470,0.3563
38,kyber1024,0.0943,0.1148,0.1463,0.3554
39,kyber1024,0.0950,0.1195,0.1485,0.3630
40,kyber1024,0.0943,0.1143,0.1456,0.3542
41,kyber1024,0.0976,0.1172,0.1484,0.3632
42,kyber1024,0.1008,0.1153,0.1452,0.3613
43,kyber1024,0.0943,0.1144,0.1443,0.3530
44,kyber1024,0.0945,0.1143,0.1452,0.3540
45,kyber1024,0.1036,0.1147,0.1438,0.3621
46,kyber1024,0.0950,0.1141,0.1444,0.3535
47,kyber1024,0.0943,0.1143,0.1508,0.3594
48,kyber1024,0.1009,0.1129,0.1449,0.3587
49,kyber1024,0.0940,0.1128,0.3109,0.5177
