Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
1,kyber1024,0.1011,0.1221,0.1297,0.3529
2,kyber1024,0.1010,0.1264,0.1333,0.3607
3,kyber1024,0.1085,0.1192,0.1340,0.3617
4,kyber1024,0.0972,0.2618,0.1377,0.4967
5,kyber1024,0.1085,0.1185,0.1333,0.3603
6,kyber1024,0.0993,0.1183,0.1331,0.3507
7,kyber1024,0.1083,0.1195,0.1429,0.3707
8,kyber1024,0.0981,0.1175,0.1315,0.3471
9,kyber1024,0.1088,0.1187,0.1349,0.3624
10,kyber1024,0.0993,0.1217,0.1331,0.3541
11,kyber1024,0.0992,0.1173,0.1368,0.3533
12,kyber1024,0.1083,0.1187,0.1341,0.3611
13,kyber1024,0.1060,0.1180,0.1326,0.3566
14,kyber1024,0.0989,0.1176,0.1289,0.3454
15,kyber1024,0.1094,0.1224,0.1441,0.3759
16,kyber1024,0.1002,0.1199,0.1335,0.3536
17,kyber1024,0.0987,0.1202,0.1321,0.3510
18,kyber1024,0.1081,0.1189,0.1421,0.3691
19,kyber1024,0.0977,0.1164,0.1317,0.3458
20,kyber1024,0.1001,0.1182,0.1326,0.3509
21,kyber1024,0.0977,0.1211,0.1321,0.3509
22,kyber1024,0.1085,0.1192,0.1366,0.3643
23,kyber1024,0.0980,0.1176,0.2634,0.4790
24,kyber1024,0.1006,0.1177,0.1358,0.3541
25,kyber1024,0.0987,0.1177,0.1322,0.3486
26,kyber1024,0.1092,0.1179,0.1330,0.3601
27,kyber1024,0.0990,0.1139,0.1325,0.3454
28,kyber1024,0.0997,0.1187,0.1421,0.3605
29,kyber1024,0.0987,0.1183,0.1325,0.3495
30,kyber1024,0.0980,0.1196,0.1319,0.3495
31,kyber1024,0.0990,0.1176,0.1361,0.3527
32,kyber1024,0.0987,0.1178,0.1322,0.3487
33,kyber1024,0.1085,0.1183,0.1322,0.3590
34,kyber1024,0.0986,0.1210,0.1327,0.3523
35,kyber1024,0.0982,0.1164,0.1316,0.3462
36,kyber1024,0.0990,0.1172,0.1321,0.3483
37,kyber1024,0.1083,0.1275,0.1323,0.3681
38,kyber1024,0.0985,0.1176,0.1329,0.3490
39,kyber1024,0.0981,0.1164,0.1322,0.3467
40,kyber1024,0.1078,0.1177,0.1326,0.3581
41,kyber1024,0.0990,0.1208,0.1322,0.3520
42,kyber1024,0.1079,0.1187,0.1373,0.3639
43,kyber1024,0.2586,0.1187,0.1316,0.5089
44,kyber1024,0.1087,0.1195,0.1344,0.3626
45,kyber1024,0.1074,0.1121,0.1257,0.3452
46,kyber1024,0.0985,0.1145,0.1349,0.3479
47,kyber1024,0.1082,0.1195,0.1456,0.3733
48,kyber1024,0.0978,0.1173,0.1317,0.3468
49,kyber1024,0.0962,0.1166,0.1318,0.3446
50,kyber1024,0.1005,0.1196,0.1395,0.3596
51,kyber1024,0.0978,0.1169,0.1317,0.3464
52,kyber1024,0.0967,0.1199,0.1305,0.3471
53,kyber1024,0.0963,0.1252,0.1263,0.3478
54,kyber1024,0.0968,0.1122,0.1264,0.3354
55,kyber1024,0.1086,0.1184,0.1319,0.3589
56,kyber1024,0.0977,0.1223,0.1316,0.3516
57,kyber1024,0.1088,0.1143,0.1287,0.3518
58,kyber1024,0.0978,0.1129,0.1272,0.3379
59,kyber1024,0.1050,0.1122,0.1268,0.3440
60,kyber1024,0.0973,0.1112,0.1245,0.3330
61,kyber1024,0.0977,0.1127,0.1275,0.3379
62,kyber1024,0.1039,0.2526,0.1420,0.4985
63,kyber1024,0.1007,0.1182,0.1316,0.3505
64,kyber1024,0.0993,0.1312,0.1280,0.3585
65,kyber1024,0.1000,0.1150,0.1335,0.3485
66,kyber1024,0.0986,0.1165,0.1315,0.3466
67,kyber1024,0.1044,0.1229,0.1463,0.3736
68,kyber1024,0.0991,0.1247,0.1318,0.3556
69,kyber1024,0.1081,0.1189,0.1324,0.3594
70,kyber1024,0.1090,0.1173,0.1319,0.3582
71,kyber1024,0.0972,0.1164,0.1316,0.3452
72,kyber1024,0.0979,0.1162,0.1458,0.3599
73,kyber1024,0.0991,0.1139,0.1272,0.3402
74,kyber1024,0.0996,0.1403,0.1354,0.3753
75,kyber1024,0.0983,0.1263,0.1302,0.3548
76,kyber1024,0.0982,0.1130,0.1315,0.3427
77,kyber1024,0.0987,0.1194,0.1455,0.3636
