Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,sha2-128s-robust,401.6382,2369.3747,3.1524,2774.1653
2,sha2-128s-robust,278.7434,2383.1585,2.1875,2664.0894
3,sha2-128s-robust,275.6617,2367.7841,2.1313,2645.5771
4,sha2-128s-robust,278.2403,2350.5469,2.1283,2630.9155
5,sha2-128s-robust,276.9506,2349.9659,2.1348,2629.0513
6,sha2-128s-robust,276.2139,2353.1280,2.1255,2631.4674
7,sha2-128s-robust,277.6842,2362.6596,2.1405,2642.4843
8,sha2-128s-robust,276.9484,2338.3732,2.2044,2617.5260
9,sha2-128s-robust,275.3450,2346.0599,2.2247,2623.6296
10,sha2-128s-robust,277.2357,2350.7251,2.2590,2630.2198
11,sha2-128s-robust,275.5538,2359.1934,2.1248,2636.8720
12,sha2-128s-robust,275.8718,2344.7919,2.1362,2622.7999
13,sha2-128s-robust,275.3088,2353.3117,2.4612,2631.0817
14,sha2-128s-robust,274.2926,2349.1118,2.0972,2625.5016
15,sha2-128s-robust,276.6898,2353.0165,2.6437,2632.3500
16,sha2-128s-robust,275.8375,2343.4651,2.3302,2621.6328
17,sha2-128s-robust,276.1076,2354.5432,2.2787,2632.9295
18,sha2-128s-robust,275.3878,2355.3257,2.2952,2633.0087
19,sha2-128s-robust,276.3290,2356.1967,2.1695,2634.6952
20,sha2-128s-robust,275.3411,2355.4156,2.2152,2632.9719
21,sha2-128s-robust,276.1102,2352.8748,2.0937,2631.0787
22,sha2-128s-robust,275.2693,2353.6696,2.1034,2631.0423
23,sha2-128s-robust,275.4915,2348.1906,2.5918,2626.2739
24,sha2-128s-robust,274.7309,2347.2817,2.2294,2624.2420
25,sha2-128s-robust,274.7001,2357.1362,2.2238,2634.0601
26,sha2-128s-robust,274.6914,2352.2640,2.2436,2629.1990
27,sha2-128s-robust,276.2204,2341.8566,2.1608,2620.2378
28,sha2-128s-robust,275.4000,2350.2746,2.2263,2627.9009
29,sha2-128s-robust,274.4987,2349.1248,2.2214,2625.8449
30,sha2-128s-robust,275.2262,2347.6914,2.1423,2625.0599
31,sha2-128s-robust,275.5528,2336.3266,2.1084,2613.9878
32,sha2-128s-robust,276.2424,2349.0432,2.2092,2627.4948
33,sha2-128s-robust,277.6767,2350.6437,2.2645,2630.5849
34,sha2-128s-robust,275.7511,2352.2286,2.2362,2630.2159
35,sha2-128s-robust,277.2490,2336.8860,2.1948,2616.3298
36,sha2-128s-robust,275.7458,2350.8920,2.1845,2628.8223
37,sha2-128s-robust,274.1125,2345.9106,2.2890,2622.3121
38,sha2-128s-robust,275.0682,2340.8124,2.2374,2618.1180
39,sha2-128s-robust,274.3434,2339.3516,1.9349,2615.6299
40,sha2-128s-robust,275.3885,2341.6990,2.2177,2619.3052
41,sha2-128s-robust,274.9736,2340.3415,2.1299,2617.4450
42,sha2-128s-robust,276.3965,2353.6089,2.3065,2632.3119
43,sha2-128s-robust,278.3184,2351.0254,2.2426,2631.5864
44,sha2-128s-robust,276.3900,2342.7304,2.1822,2621.3026
45,sha2-128s-robust,274.9974,2347.6050,2.2494,2624.8518
46,sha2-128s-robust,275.9754,2346.8456,2.3447,2625.1657
47,sha2-128s-robust,274.9300,2348.9500,1.9551,2625.8351
48,sha2-128s-robust,276.7821,2369.7216,2.2409,2648.7446
49,sha2-128s-robust,278.1955,2352.8519,2.1355,2633.1829
50,sha2-128s-robust,276.4760,2343.8899,2.0724,2622.4383
51,sha2-128s-robust,276.9334,2361.1493,2.2109,2640.2936
52,sha2-128s-robust,276.1356,2357.3349,2.3843,2635.8548
53,sha2-128s-robust,277.2528,2363.6073,2.1356,2642.9957
54,sha2-128s-robust,277.0577,2339.5027,2.3208,2618.8812
55,sha2-128s-robust,275.3958,2353.3538,2.0783,2630.8279
56,sha2-128s-robust,277.9294,2351.7941,2.1922,2631.9157
57,sha2-128s-robust,279.8649,2349.7298,2.2815,2631.8762
58,sha2-128s-robust,276.6807,2352.1738,2.2482,2631.1027
59,sha2-128s-robust,278.6248,2360.6464,2.2172,2641.4884
60,sha2-128s-robust,276.6985,2361.5577,2.2844,2640.5406
61,sha2-128s-robust,276.9561,2344.8044,2.2458,2624.0063
62,sha2-128s-robust,275.7896,2360.0539,1.9357,2637.7792
63,sha2-128s-robust,276.1015,2353.6621,2.0488,2631.8124
64,sha2-128s-robust,274.8905,2357.9626,2.0991,2634.9522
65,sha2-128s-robust,276.4254,2348.4058,2.1247,2626.9559
66,sha2-128s-robust,277.1023,2365.5189,2.2192,2644.8404
67,sha2-128s-robust,275.4509,2358.3984,2.3021,2636.1514
68,sha2-128s-robust,276.5446,2364.1377,2.1873,2642.8696
69,sha2-128s-robust,275.8982,2341.3137,2.1911,2619.4030
70,sha2-128s-robust,275.0201,2358.1544,2.3598,2635.5343
71,sha2-128s-robust,273.8493,2345.2337,2.1107,2621.1937
72,sha2-128s-robust,274.5456,2348.8430,2.2502,2625.6388
73,sha2-128s-robust,274.4183,2335.0396,2.3279,2611.7858
74,sha2-128s-robust,274.3579,2352.2954,2.1681,2628.8214
75,sha2-128s-robust,273.4633,2340.1625,2.1009,2615.7267
76,sha2-128s-robust,273.0437,2340.1119,2.0777,2615.2333
77,sha2-128s-robust,272.9582,2337.4133,2.1000,2612.4715
78,sha2-128s-robust,274.2204,2344.8092,2.1189,2621.1485
79,sha2-128s-robust,273.6536,2330.4286,2.1088,2606.1910
80,sha2-128s-robust,273.8490,2328.6149,2.1627,2604.6266
81,sha2-128s-robust,274.6502,2336.1613,2.2171,2613.0286
82,sha2-128s-robust,272.9556,2352.6635,2.0916,2627.7107
83,sha2-128s-robust,275.5728,2352.8553,2.1611,2630.5892
84,sha2-128s-robust,276.9923,2347.9478,2.2281,2627.1682
85,sha2-128s-robust,274.8929,2355.4757,2.1621,2632.5307
86,sha2-128s-robust,274.4463,2360.9402,1.9904,2637.3769
87,sha2-128s-robust,274.3422,2349.9697,2.1552,2626.4671
88,sha2-128s-robust,275.5621,2337.8025,2.1023,2615.4669
89,sha2-128s-robust,275.3739,2345.0549,2.2039,2622.6327
90,sha2-128s-robust,274.3218,2351.8434,2.3813,2628.5465
91,sha2-128s-robust,273.8456,2353.3486,2.1750,2629.3692
92,sha2-128s-robust,275.5311,2336.2052,2.2230,2613.9593
93,sha2-128s-robust,273.9208,2348.8333,2.0525,2624.8066
94,sha2-128s-robust,275.8528,2356.2217,2.0814,2634.1559
95,sha2-128s-robust,273.7850,2350.9987,2.1216,2626.9053
96,sha2-128s-robust,275.7634,2348.7415,2.1241,2626.6290
97,sha2-128s-robust,273.9961,2347.2208,2.0972,2623.3141
98,sha2-128s-robust,275.1039,2345.9737,2.2124,2623.2900
99,sha2-128s-robust,275.9964,2347.8366,2.2102,2626.0432
100,sha2-128s-robust,275.4353,2356.8676,2.2579,2634.5608
