Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,sha2-256f-robust,23.4667,444.1598,12.2337,479.8602
2,sha2-256f-robust,21.5689,443.6935,12.4154,477.6778
3,sha2-256f-robust,21.5755,442.5507,12.3012,476.4274
4,sha2-256f-robust,21.5614,444.8831,12.2515,478.6960
5,sha2-256f-robust,21.4611,443.9719,11.7531,477.1861
6,sha2-256f-robust,21.5428,443.9272,12.2368,477.7068
7,sha2-256f-robust,21.6822,445.1442,12.1790,479.0054
8,sha2-256f-robust,21.4654,443.8221,12.0414,477.3289
9,sha2-256f-robust,21.6550,444.0056,12.3740,478.0346
10,sha2-256f-robust,22.2158,445.3853,11.9731,479.5742
11,sha2-256f-robust,21.4788,446.5928,12.1222,480.1938
12,sha2-256f-robust,21.4648,445.3893,12.2573,479.1114
13,sha2-256f-robust,21.6943,446.5050,12.0455,480.2448
14,sha2-256f-robust,22.3386,445.6169,11.7409,479.6964
15,sha2-256f-robust,21.4513,443.3167,12.0095,476.7775
16,sha2-256f-robust,21.4622,442.0185,12.0018,475.4825
17,sha2-256f-robust,21.5024,441.0771,12.0898,474.6693
18,sha2-256f-robust,21.5731,442.8333,11.9854,476.3918
19,sha2-256f-robust,21.7731,443.4329,11.8876,477.0936
20,sha2-256f-robust,21.4976,443.3122,12.2296,477.0394
21,sha2-256f-robust,21.5465,442.8371,12.3836,476.7672
22,sha2-256f-robust,21.5480,442.8792,11.7530,476.1802
23,sha2-256f-robust,21.4852,442.9880,12.1159,476.5891
24,sha2-256f-robust,21.5155,441.5276,12.6594,475.7025
25,sha2-256f-robust,21.5992,443.1769,12.2598,477.0359
26,sha2-256f-robust,21.5262,443.6449,12.3139,477.4850
27,sha2-256f-robust,21.5802,442.0979,11.9446,475.6227
28,sha2-256f-robust,21.4596,447.1803,12.5116,481.1515
29,sha2-256f-robust,22.3213,458.5535,12.4583,493.3331
30,sha2-256f-robust,22.2571,459.5007,12.5262,494.2840
31,sha2-256f-robust,22.2296,457.3346,12.4099,491.9741
32,sha2-256f-robust,22.1343,457.0219,12.6584,491.8146
33,sha2-256f-robust,22.1054,455.1222,12.6752,489.9028
34,sha2-256f-robust,22.1192,454.3247,12.8652,489.3091
35,sha2-256f-robust,22.3428,453.9243,12.5577,488.8248
36,sha2-256f-robust,22.0792,455.2734,12.0717,489.4243
37,sha2-256f-robust,21.9677,454.3617,12.3743,488.7037
38,sha2-256f-robust,21.9245,452.7396,12.5061,487.1702
39,sha2-256f-robust,21.9029,455.6045,12.5386,490.0460
40,sha2-256f-robust,22.0011,451.5712,12.2811,485.8534
41,sha2-256f-robust,22.0060,451.1278,12.2487,485.3825
42,sha2-256f-robust,21.8328,450.4020,12.3389,484.5737
43,sha2-256f-robust,21.8276,449.6980,12.7889,484.3145
44,sha2-256f-robust,21.8313,450.9469,11.9131,484.6913
45,sha2-256f-robust,22.0350,450.7240,12.2155,484.9745
46,sha2-256f-robust,21.8445,450.1022,11.8044,483.7511
47,sha2-256f-robust,21.7400,449.6983,11.8771,483.3154
48,sha2-256f-robust,21.7884,448.4759,12.5530,482.8173
49,sha2-256f-robust,21.8853,449.5034,12.4647,483.8534
50,sha2-256f-robust,21.8735,447.5500,11.9638,481.3873
51,sha2-256f-robust,21.6542,446.6469,12.3621,480.6632
52,sha2-256f-robust,21.6176,446.4006,12.5459,480.5641
53,sha2-256f-robust,21.7640,447.5825,12.4600,481.8065
54,sha2-256f-robust,21.8891,447.5448,12.3621,481.7960
55,sha2-256f-robust,21.6461,447.3931,11.9969,481.0361
56,sha2-256f-robust,21.6625,446.9580,12.3629,480.9834
57,sha2-256f-robust,21.6701,447.9785,12.3802,482.0288
58,sha2-256f-robust,21.8735,449.4663,12.2626,483.6024
59,sha2-256f-robust,21.7322,446.2653,12.2876,480.2851
60,sha2-256f-robust,21.5999,446.8580,12.1384,480.5963
61,sha2-256f-robust,21.6395,445.0926,12.0111,478.7432
62,sha2-256f-robust,21.6612,445.0049,12.4359,479.1020
63,sha2-256f-robust,21.6911,444.9938,12.1333,478.8182
64,sha2-256f-robust,21.5352,446.8293,11.6868,480.0513
65,sha2-256f-robust,21.6498,445.1278,12.4547,479.2323
66,sha2-256f-robust,21.5446,445.2823,12.1505,478.9774
67,sha2-256f-robust,21.6508,444.5548,12.3916,478.5972
68,sha2-256f-robust,21.6239,445.8810,11.8485,479.3534
69,sha2-256f-robust,21.6246,445.2168,12.1656,479.0070
70,sha2-256f-robust,21.6110,446.5543,12.3003,480.4656
71,sha2-256f-robust,21.6245,445.4547,12.1398,479.2190
72,sha2-256f-robust,21.8853,445.8047,12.1935,479.8835
73,sha2-256f-robust,21.5574,444.0883,12.3945,478.0402
74,sha2-256f-robust,21.6678,445.4772,12.1240,479.2690
75,sha2-256f-robust,21.5326,445.5750,11.9531,479.0607
76,sha2-256f-robust,21.7525,445.8305,12.4078,479.9908
77,sha2-256f-robust,21.5480,445.1108,12.1887,478.8475
78,sha2-256f-robust,21.5052,444.7939,12.3981,478.6972
79,sha2-256f-robust,21.9309,446.4544,11.9318,480.3171
80,sha2-256f-robust,21.7045,448.2270,12.1918,482.1233
81,sha2-256f-robust,21.5210,444.6811,11.9724,478.1745
82,sha2-256f-robust,21.5306,443.8977,12.2089,477.6372
83,sha2-256f-robust,21.5383,444.1987,11.8421,477.5791
84,sha2-256f-robust,21.6774,446.1014,12.0458,479.8246
85,sha2-256f-robust,21.5600,447.8080,11.9410,481.3090
86,sha2-256f-robust,21.6339,450.1064,12.0322,483.7725
87,sha2-256f-robust,21.4747,447.4181,13.0161,481.9089
88,sha2-256f-robust,21.9323,446.5839,11.9906,480.5068
89,sha2-256f-robust,22.1275,447.5160,12.3907,482.0342
90,sha2-256f-robust,21.7886,446.1673,12.1311,480.0870
91,sha2-256f-robust,21.4675,448.8150,12.4119,482.6944
92,sha2-256f-robust,21.5475,447.0383,12.4746,481.0604
93,sha2-256f-robust,22.3709,447.1839,12.1271,481.6819
94,sha2-256f-robust,21.4586,446.7938,11.7902,480.0426
95,sha2-256f-robust,21.5856,447.1503,12.1555,480.8914
96,sha2-256f-robust,21.4551,444.6893,12.1654,478.3098
97,sha2-256f-robust,22.1469,446.0629,12.5859,480.7957
98,sha2-256f-robust,21.6058,447.0205,12.0950,480.7213
99,sha2-256f-robust,21.5152,449.1139,12.2621,482.8912
100,sha2-256f-robust,21.6077,447.8479,12.7263,482.1819
