Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,shake-128s-robust,466.9201,2764.0283,3.4622,3234.4106
2,shake-128s-robust,321.8662,2748.7227,2.7035,3073.2924
3,shake-128s-robust,320.5428,2727.4172,2.5308,3050.4908
4,shake-128s-robust,319.4318,2720.9488,2.6262,3043.0068
5,shake-128s-robust,319.4127,2726.4146,2.3977,3048.2250
6,shake-128s-robust,320.1274,2776.7868,2.4573,3099.3715
7,shake-128s-robust,319.6600,2737.3298,2.4144,3059.4042
8,shake-128s-robust,321.1150,2746.1415,2.3895,3069.6460
9,shake-128s-robust,320.2936,2742.7582,2.3908,3065.4426
10,shake-128s-robust,319.7582,2738.9590,2.3588,3061.0760
11,shake-128s-robust,320.9881,2744.9017,2.5048,3068.3946
12,shake-128s-robust,320.0377,2735.1876,2.7732,3057.9985
13,shake-128s-robust,320.9869,2740.6558,2.4146,3064.0573
14,shake-128s-robust,320.2390,2735.2404,2.4085,3057.8879
15,shake-128s-robust,321.3100,2734.5190,2.6161,3058.4451
16,shake-128s-robust,320.2704,2732.6717,2.4035,3055.3456
17,shake-128s-robust,320.5384,2732.8332,2.4332,3055.8048
18,shake-128s-robust,319.7940,2737.3055,2.4383,3059.5378
19,shake-128s-robust,320.5849,2741.2985,2.4731,3064.3565
20,shake-128s-robust,319.2505,2739.6361,2.5854,3061.4720
21,shake-128s-robust,320.2309,2733.9516,2.2911,3056.4736
22,shake-128s-robust,320.4486,2734.7408,2.3761,3057.5655
23,shake-128s-robust,320.0749,2734.5816,2.7090,3057.3655
24,shake-128s-robust,323.5347,2727.7059,2.3867,3053.6273
25,shake-128s-robust,319.2751,2728.8407,2.5827,3050.6985
26,shake-128s-robust,319.5205,2733.1677,2.4430,3055.1312
27,shake-128s-robust,320.0334,2755.1562,2.4023,3077.5919
28,shake-128s-robust,320.6715,2729.0997,2.3863,3052.1575
29,shake-128s-robust,320.0104,2742.4972,2.4099,3064.9175
30,shake-128s-robust,324.9887,2748.8988,2.5781,3076.4656
31,shake-128s-robust,321.1633,2761.7042,2.5648,3085.4323
32,shake-128s-robust,324.1157,2749.5270,2.7832,3076.4259
33,shake-128s-robust,321.1306,2752.2376,2.2818,3075.6500
34,shake-128s-robust,321.3477,2741.8757,2.5022,3065.7256
35,shake-128s-robust,320.3240,2752.2519,2.3917,3074.9676
36,shake-128s-robust,320.1240,2740.0207,2.5227,3062.6674
37,shake-128s-robust,319.3513,2737.7145,2.2994,3059.3652
38,shake-128s-robust,318.9547,2750.8086,2.3971,3072.1604
39,shake-128s-robust,326.6300,2754.3647,2.3967,3083.3914
40,shake-128s-robust,323.7318,2730.9929,2.4392,3057.1639
41,shake-128s-robust,321.1362,2734.5376,2.5190,3058.1928
42,shake-128s-robust,320.1986,2742.1369,2.2518,3064.5873
43,shake-128s-robust,320.7038,2737.4388,2.4645,3060.6071
44,shake-128s-robust,321.8150,2738.9630,2.3619,3063.1399
45,shake-128s-robust,320.3387,2741.2604,2.6004,3064.1995
46,shake-128s-robust,325.9222,2749.9672,2.5558,3078.4452
47,shake-128s-robust,319.9042,2739.4783,2.3923,3061.7748
48,shake-128s-robust,319.6419,2735.0256,2.3829,3057.0504
49,shake-128s-robust,322.1762,2741.5779,2.3182,3066.0723
50,shake-128s-robust,319.1188,2735.0475,2.5317,3056.6980
51,shake-128s-robust,319.1956,2740.1163,2.7318,3062.0437
52,shake-128s-robust,321.5956,2733.2558,2.5023,3057.3537
53,shake-128s-robust,319.0954,2721.5919,2.4268,3043.1141
54,shake-128s-robust,319.1363,2724.6371,2.4523,3046.2257
55,shake-128s-robust,318.5952,2721.1377,2.5232,3042.2561
56,shake-128s-robust,318.2241,2723.1292,2.2008,3043.5541
57,shake-128s-robust,318.7683,2720.5036,2.4879,3041.7598
58,shake-128s-robust,318.4287,2722.7639,2.5985,3043.7911
59,shake-128s-robust,318.4330,2730.3665,2.3835,3051.1830
60,shake-128s-robust,318.6698,2731.0670,2.3818,3052.1186
61,shake-128s-robust,318.3512,2726.8669,2.5135,3047.7316
62,shake-128s-robust,318.1689,2726.4372,2.4091,3047.0152
63,shake-128s-robust,318.4299,2721.1279,2.4284,3041.9862
64,shake-128s-robust,318.2813,2722.4322,2.6394,3043.3529
65,shake-128s-robust,318.8279,2724.0680,2.4837,3045.3796
66,shake-128s-robust,320.2903,2734.3684,2.2893,3056.9480
67,shake-128s-robust,318.5179,2722.6513,2.4290,3043.5982
68,shake-128s-robust,318.5290,2726.3362,2.7530,3047.6182
69,shake-128s-robust,319.7047,2748.7657,2.4689,3070.9393
70,shake-128s-robust,319.7152,2734.1040,2.4075,3056.2267
71,shake-128s-robust,320.8228,2736.3784,2.5314,3059.7326
72,shake-128s-robust,319.6182,2733.4333,2.6206,3055.6721
73,shake-128s-robust,319.3052,2736.1323,2.5994,3058.0369
74,shake-128s-robust,320.1643,2734.4326,2.4585,3057.0554
75,shake-128s-robust,319.9309,2731.6899,2.4473,3054.0681
76,shake-128s-robust,319.9071,2726.3274,2.3144,3048.5489
77,shake-128s-robust,318.6820,2728.5404,2.5832,3049.8056
78,shake-128s-robust,319.3963,2727.9485,2.6183,3049.9631
79,shake-128s-robust,318.6241,2728.1167,2.3828,3049.1236
80,shake-128s-robust,319.3101,2724.4606,2.6779,3046.4486
81,shake-128s-robust,318.8641,2731.5546,2.5660,3052.9847
82,shake-128s-robust,318.8395,2730.4417,2.7617,3052.0429
83,shake-128s-robust,318.9385,2731.0169,2.4114,3052.3668
84,shake-128s-robust,320.9643,2735.0441,2.3923,3058.4007
85,shake-128s-robust,319.7615,2735.5737,2.5483,3057.8835
86,shake-128s-robust,318.5366,2724.3066,2.3527,3045.1959
87,shake-128s-robust,318.7867,2723.0012,2.5278,3044.3157
88,shake-128s-robust,320.4842,2726.1610,2.4356,3049.0808
89,shake-128s-robust,324.4741,2725.9006,2.4921,3052.8668
90,shake-128s-robust,319.2798,2732.1054,2.4348,3053.8200
91,shake-128s-robust,319.0230,2722.2974,2.1869,3043.5073
92,shake-128s-robust,319.0154,2721.6791,2.2633,3042.9578
93,shake-128s-robust,318.8160,2722.9473,2.3904,3044.1537
94,shake-128s-robust,318.9822,2726.3681,2.4826,3047.8329
95,shake-128s-robust,318.9907,2724.0835,2.4409,3045.5151
96,shake-128s-robust,318.4193,2722.7157,2.6282,3043.7632
97,shake-128s-robust,318.2501,2723.1710,2.3117,3043.7328
98,shake-128s-robust,318.2903,2727.3074,2.2363,3047.8340
99,shake-128s-robust,319.0580,2725.9576,2.3890,3047.4046
100,shake-128s-robust,320.6280,2735.2495,2.5050,3058.3825
