Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,shake-256f-robust,21.6033,411.2726,10.4671,443.3430
2,shake-256f-robust,19.7651,412.3640,10.6360,442.7651
3,shake-256f-robust,19.6827,408.4915,10.3780,438.5522
4,shake-256f-robust,19.6666,408.9280,10.5227,439.1173
5,shake-256f-robust,19.7131,408.2296,11.2417,439.1844
6,shake-256f-robust,19.6312,409.6601,10.2906,439.5819
7,shake-256f-robust,19.6709,409.2310,11.0391,439.9410
8,shake-256f-robust,19.7256,407.7022,10.8233,438.2511
9,shake-256f-robust,19.6689,408.3377,10.5818,438.5884
10,shake-256f-robust,20.1607,408.8335,10.2676,439.2618
11,shake-256f-robust,19.6812,408.4845,11.0705,439.2362
12,shake-256f-robust,22.2710,407.6086,10.3978,440.2774
13,shake-256f-robust,19.6014,408.9756,10.6203,439.1973
14,shake-256f-robust,19.6759,409.5622,10.9574,440.1955
15,shake-256f-robust,19.5788,407.6736,10.2899,437.5423
16,shake-256f-robust,19.6039,407.2440,10.6434,437.4913
17,shake-256f-robust,19.6870,407.2728,10.6573,437.6171
18,shake-256f-robust,19.4635,408.9277,10.7452,439.1364
19,shake-256f-robust,19.8000,407.0623,10.7192,437.5815
20,shake-256f-robust,19.5433,408.1788,10.6226,438.3447
21,shake-256f-robust,19.5458,410.9469,10.6061,441.0988
22,shake-256f-robust,19.5536,408.4238,10.3765,438.3539
23,shake-256f-robust,19.6999,407.9756,10.7303,438.4058
24,shake-256f-robust,19.5941,408.5167,10.6338,438.7446
25,shake-256f-robust,19.5673,407.8428,10.4640,437.8741
26,shake-256f-robust,19.7080,408.0613,10.3903,438.1596
27,shake-256f-robust,19.5620,408.8460,10.4128,438.8208
28,shake-256f-robust,19.5735,407.5290,10.7688,437.8713
29,shake-256f-robust,19.6124,408.0443,10.4674,438.1241
30,shake-256f-robust,19.5869,407.2334,10.1378,436.9581
31,shake-256f-robust,19.6272,408.0697,10.5356,438.2325
32,shake-256f-robust,19.7384,413.6563,10.7673,444.1620
33,shake-256f-robust,19.5193,413.0293,11.8741,444.4227
34,shake-256f-robust,19.7998,407.4511,10.3417,437.5926
35,shake-256f-robust,19.5317,407.1066,10.5920,437.2303
36,shake-256f-robust,19.5402,412.3656,10.8533,442.7591
37,shake-256f-robust,19.7429,406.7659,10.6782,437.1870
38,shake-256f-robust,19.5453,413.1319,10.1640,442.8412
39,shake-256f-robust,19.6204,408.7398,10.4451,438.8053
40,shake-256f-robust,19.5644,407.1021,10.2559,436.9224
41,shake-256f-robust,19.5817,407.0640,10.4942,437.1399
42,shake-256f-robust,19.6615,410.0148,10.7615,440.4378
43,shake-256f-robust,19.5405,407.8062,10.2787,437.6254
