Iteración,Tiempo Generación Claves (ms),Tiempo Firma Pequeña (ms),Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
1,1.0898,3.8111,1.6246,0.8977,0.8532,5.7986,3.5677
2,0.4570,1.0642,0.7915,0.7292,0.6766,2.2504,1.9251
3,0.3017,0.5152,1.6387,0.4503,0.3729,1.2672,2.3133
4,0.3273,1.3372,1.3523,0.3472,0.3706,2.0117,2.0502
5,0.3052,2.1439,1.8398,0.3577,0.3784,2.8068,2.5235
6,0.3355,0.3903,0.5465,0.3477,0.3958,1.0735,1.2779
7,0.3445,0.5756,0.9796,0.3742,0.3931,1.2943,1.7171
8,0.3109,0.8007,0.6208,0.2295,0.2139,1.3412,1.1456
9,0.3165,1.3481,1.2708,0.1836,0.2243,1.8482,1.8116
10,0.2940,0.4864,3.2148,0.2838,1.8776,1.0642,5.3864
11,0.4658,0.5908,0.8504,0.2589,0.3220,1.3155,1.6383
12,0.3798,1.0679,0.7770,0.2619,0.3082,1.7096,1.4650
13,0.3670,0.4633,0.8822,0.3255,0.2931,1.1558,1.5423
14,0.3671,0.4229,0.8956,0.2854,0.2984,1.0754,1.5610
15,0.3734,0.6015,1.1614,0.2624,0.3241,1.2374,1.8589
16,0.3779,0.5152,0.3966,0.1894,0.2157,1.0825,0.9902
17,0.3579,0.5891,0.4974,0.3101,0.3223,1.2571,1.1775
18,0.3513,0.5569,0.7799,0.1826,0.1997,1.0908,1.3308
19,0.3162,0.3016,0.6696,0.1781,0.2035,0.7960,1.1894
20,0.3087,0.5701,0.4095,0.1787,0.2065,1.0575,0.9247
21,0.2784,0.3508,0.7143,0.1751,0.1996,0.8042,1.1923
22,0.2520,0.2880,0.3580,0.1822,0.2051,0.7221,0.8151
23,0.2539,1.1699,0.4783,0.1860,0.2038,1.6098,0.9360
24,0.2873,0.7808,0.3939,0.2003,0.2042,1.2683,0.8854
25,0.3443,0.6912,0.4904,0.2457,0.2968,1.2811,1.1315
26,0.3507,2.2353,1.4596,0.2624,0.2963,2.8485,2.1066
27,0.3549,1.6125,0.4479,0.2759,0.3111,2.2434,1.1139
28,0.3515,0.4290,0.4714,0.2583,0.2815,1.0387,1.1044
29,0.3459,0.4263,0.4533,0.2768,0.2953,1.0490,1.0946
30,0.3341,0.6865,0.4823,0.2654,0.3081,1.2861,1.1246
31,0.3655,0.4148,1.5255,0.2671,0.3010,1.0474,2.1921
32,0.3517,0.5183,0.6263,0.2731,0.3354,1.1431,1.3135
33,0.3373,0.5342,0.4527,0.2596,0.3169,1.1311,1.1069
34,0.3058,0.6850,0.5133,0.1745,0.2215,1.1653,1.0406
35,0.3614,0.4217,0.5574,0.1783,0.2200,0.9614,1.1388
36,0.3216,0.2676,0.3260,0.1751,0.2005,0.7643,0.8481
37,0.2693,1.6862,0.4722,0.1750,0.2005,2.1305,0.9420
38,0.3057,0.3578,0.3366,0.2079,0.2833,0.8715,0.9255
39,0.2972,0.2745,0.3700,0.1875,0.2054,0.7593,0.8726
40,0.3108,0.2653,0.6440,0.1945,0.2010,0.7706,1.1557
41,0.3070,1.0134,0.3439,0.1865,0.2025,1.5070,0.8534
42,0.3132,0.9462,2.6515,0.1957,0.2103,1.4550,3.1750
43,0.3132,0.6148,1.7811,0.2224,0.1957,1.1505,2.2901
44,0.3023,0.2686,0.5424,0.1898,0.1968,0.7608,1.0415
45,0.2762,0.6486,0.4390,0.1712,0.2214,1.0960,0.9367
46,0.2622,0.3473,0.3965,0.1697,0.2003,0.7792,0.8589
47,0.2673,0.2688,0.4577,0.1880,0.1975,0.7241,0.9225
48,0.2684,0.6440,1.3998,0.1737,0.2082,1.0861,1.8765
49,0.2750,0.4223,0.4008,0.1694,0.2011,0.8666,0.8768
50,0.2845,0.5138,1.2767,0.1908,0.1958,0.9890,1.7569
51,0.3382,0.3122,0.3017,0.1897,0.1963,0.8401,0.8362
52,0.2636,0.4004,0.4744,0.1741,0.1962,0.8381,0.9342
53,0.2930,0.4639,0.4073,0.1683,0.1991,0.9253,0.8994
54,0.2882,0.2620,0.2920,0.1678,0.2133,0.7180,0.7936
55,0.2940,0.2669,0.3032,0.1676,0.1998,0.7284,0.7969
56,0.2726,0.7109,0.6421,0.1690,0.1947,1.1526,1.1095
57,0.3000,0.2759,0.2881,0.1739,0.1957,0.7497,0.7838
58,0.2840,0.2678,0.6826,0.1696,0.1990,0.7213,1.1656
59,0.3254,0.5029,0.3748,0.1831,0.1999,1.0114,0.9001
60,0.2810,0.5329,0.2954,0.1715,0.2080,0.9854,0.7845
61,0.2828,0.4735,1.3772,0.1758,0.2163,0.9321,1.8764
62,0.3090,0.2694,1.0645,0.1748,0.2511,0.7532,1.6246
63,0.3698,0.3273,0.4764,0.1738,0.1968,0.8710,1.0431
64,0.2917,0.3450,2.1408,0.1866,0.1966,0.8232,2.6291
65,0.2731,0.8707,0.9517,0.1731,0.1948,1.3170,1.4196
66,0.2835,0.4170,1.3753,0.1752,0.1990,0.8757,1.8579
67,0.2950,0.3529,0.5278,0.1815,0.1945,0.8295,1.0173
68,0.2573,1.2052,0.9250,0.1666,0.2059,1.6291,1.3882
69,0.2704,0.7192,0.2966,0.1767,0.2157,1.1663,0.7827
70,0.3003,0.4394,0.8540,0.1734,0.2179,0.9130,1.3722
71,0.3359,0.7634,0.3466,0.1949,0.1968,1.2943,0.8792
72,0.3079,0.4368,0.3924,0.1708,0.2012,0.9156,0.9014
73,0.2707,0.5812,0.3084,0.1927,0.1971,1.0446,0.7762
74,0.2947,0.6816,0.5467,0.1709,0.2025,1.1473,1.0439
75,0.3849,1.7243,0.9561,0.1991,0.1997,2.3083,1.5407
76,0.2885,0.8508,0.3077,0.1962,0.1961,1.3356,0.7923
77,0.2987,0.4349,0.6895,0.1933,0.1967,0.9269,1.1849
78,0.2864,0.2901,0.2973,0.1671,0.2092,0.7436,0.7929
79,0.3140,1.5441,0.7486,0.1706,0.1946,2.0287,1.2572
80,0.2893,0.5067,0.3202,0.1756,0.1955,0.9715,0.8050
81,0.2918,1.5109,0.3934,0.1902,0.1957,1.9929,0.8809
82,0.2913,0.6433,0.3999,0.1708,0.2226,1.1054,0.9138
83,0.2946,0.4756,0.9879,0.1749,0.1952,0.9451,1.4778
84,0.2966,0.5683,0.3126,0.2154,0.1970,1.0802,0.8063
85,0.2863,0.4079,0.2924,0.1710,0.1959,0.8652,0.7747
86,0.3164,0.2767,0.4835,0.1713,0.1952,0.7644,0.9951
87,0.2845,0.3981,0.6194,0.1953,0.1955,0.8779,1.0993
88,0.2904,0.2986,1.0027,0.1731,0.2005,0.7622,1.4935
