Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
1.3457,0.4425,0.4751,1.8669,2.4270
1.2719,0.4272,0.3873,3.5461,2.3131
0.8544,0.3904,0.3419,1.7660,1.7172
1.2456,0.4287,0.4662,1.5898,2.2237
0.8879,0.3192,0.3217,3.1699,1.6247
0.7488,0.3037,0.3218,1.2055,1.5413
1.6211,0.3112,0.3418,1.3958,2.4411
2.1114,0.3089,0.3159,1.3568,2.8770
0.6197,0.2901,0.3162,1.2898,1.3674
0.7050,0.3076,0.3321,1.1905,1.4466
0.6296,0.4022,0.4192,1.8131,1.4567
0.7396,0.3002,0.3513,2.1271,1.5360
0.5937,0.3203,0.3596,1.3511,1.3724
0.6196,0.3048,0.3322,1.3128,1.3691
1.0317,0.3046,0.3522,2.2242,1.8624
0.7917,0.2924,0.3599,1.2061,1.6226
2.2691,0.3076,0.3447,1.3706,3.1127
0.6441,0.2937,0.4180,1.4140,1.5358
0.7766,0.3050,0.3362,2.1903,1.6412
0.8464,0.3062,0.3185,1.4620,1.6291
0.8075,0.3534,0.3157,1.4823,1.5400
0.5984,0.2927,0.3160,1.2944,1.3306
0.4629,0.2866,0.3344,1.1737,1.2349
0.9700,0.3004,0.3261,2.4254,1.7039
1.0211,0.3003,0.3575,1.9138,1.8393
1.2052,0.3070,0.3336,2.2432,2.0776
0.9903,0.3276,0.3400,1.9389,1.7426
0.6294,0.4179,0.4406,1.2648,1.4713
0.6228,0.2909,0.3430,1.4677,1.4529
0.5850,0.3211,0.3608,6.4700,1.3889
1.1698,0.4130,0.5044,1.8839,2.1937
1.4869,0.3162,0.3767,1.7283,2.3219
1.0761,0.3101,0.3566,2.3658,1.8517
0.6290,0.3356,0.4368,1.4207,1.4725
0.9940,0.3007,0.3752,1.6742,1.7855
0.8989,0.3021,0.4072,2.3244,1.8159
0.4754,0.3111,0.4205,2.3486,1.3073
0.9116,0.3413,0.3746,1.4597,1.8130
