Version,Iteration,KeyGenTime,EncapTime,DecapTime,EncryptTime,DecryptTime,TotalTime
ML-KEM-768,1,0.2177,0.1136,0.1200,0.0716,0.0162,0.5391
ML-KEM-768,2,0.2160,0.1151,0.1241,0.0532,0.0159,0.5243
ML-KEM-768,3,0.1885,0.1083,0.1188,0.0724,0.0167,0.5047
ML-KEM-768,4,0.1843,0.1026,0.1175,0.0434,0.0148,0.4625
ML-KEM-768,5,0.1689,0.1039,0.1230,0.0505,0.0148,0.4611
ML-KEM-768,6,0.1786,0.1045,0.1186,0.0481,0.0360,0.4858
ML-KEM-768,7,0.1786,0.1003,0.1174,0.0524,0.0160,0.4647
ML-KEM-768,8,0.1857,0.1082,0.1191,0.0529,0.0148,0.4807
ML-KEM-768,9,0.1973,0.1136,0.1186,0.0496,0.0321,0.5112
ML-KEM-768,10,0.2132,0.1124,0.1148,0.0712,0.0155,0.5271
ML-KEM-768,11,0.1754,0.1088,0.1148,0.0499,0.0152,0.4641
ML-KEM-768,12,0.2294,0.1290,0.1350,0.0887,0.0189,0.6009
ML-KEM-768,13,0.2618,0.1085,0.1158,0.0626,0.0162,0.5650
ML-KEM-768,14,0.1918,0.1086,0.1197,0.0804,0.0149,0.5154
ML-KEM-768,15,0.1977,0.1269,0.1201,0.0585,0.0168,0.5200
ML-KEM-768,16,0.2112,0.1076,0.1211,0.0549,0.0149,0.5098
ML-KEM-768,17,0.1852,0.0846,0.0844,0.0431,0.0126,0.4099
ML-KEM-768,18,0.1479,0.0904,0.0973,0.0463,0.0114,0.3932
ML-KEM-768,19,0.1935,0.1081,0.1190,0.0518,0.0151,0.4875
ML-KEM-768,20,0.1848,0.1049,0.1336,0.0503,0.0137,0.4873
ML-KEM-768,21,0.1601,0.0977,0.1165,0.0451,0.0148,0.4342
ML-KEM-768,22,0.1825,0.0985,0.1189,0.0490,0.0146,0.4635
ML-KEM-768,23,0.1886,0.0979,0.1167,0.0396,0.0131,0.4559
ML-KEM-768,24,0.2244,0.1369,0.1247,0.0538,0.0165,0.5564
ML-KEM-768,25,0.1990,0.1115,0.1202,0.0549,0.0162,0.5018
ML-KEM-768,26,0.1908,0.1161,0.1185,0.0438,0.0135,0.4828
ML-KEM-768,27,0.1458,0.0979,0.1155,0.0376,0.0127,0.4095
