Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
1,2.190,0.714,1.018,3.923
2,0.791,0.559,0.843,2.194
3,0.551,0.431,0.650,1.633
4,0.593,0.395,1.060,2.048
5,0.568,0.374,0.504,1.445
6,0.431,0.433,0.786,1.651
7,0.749,0.569,0.747,2.065
8,0.735,0.583,0.727,2.045
9,0.555,0.500,0.771,1.825
10,0.377,0.247,0.601,1.224
11,0.336,0.344,0.636,1.316
12,0.371,0.300,0.657,1.328
13,0.332,0.248,0.628,1.208
14,0.329,0.249,1.043,1.621
15,0.425,0.315,0.455,1.195
16,0.349,0.234,0.410,0.993
17,0.274,0.231,0.413,0.918
18,0.344,0.319,0.434,1.097
19,0.260,0.250,0.403,0.914
20,0.286,0.246,0.417,0.948
21,0.308,0.236,0.394,0.938
22,0.287,0.223,0.416,0.926
23,0.279,0.211,0.388,0.878
24,0.271,0.203,0.418,0.892
25,0.434,0.212,0.415,1.061
26,0.288,0.201,0.406,0.895
27,0.249,0.214,0.418,0.881
28,0.310,0.240,0.411,0.961
29,0.289,0.203,0.397,0.889
30,0.291,0.224,0.540,1.056
31,0.366,0.288,0.559,1.212
32,0.348,0.222,0.521,1.091
33,0.335,0.216,0.388,0.939
34,0.238,0.190,0.396,0.823
35,0.265,0.204,0.377,0.845
36,0.346,0.202,0.409,0.957
37,0.277,0.199,0.426,0.902
38,0.298,0.232,0.510,1.041
39,0.328,0.266,0.485,1.079
40,0.491,0.259,0.514,1.265
41,0.338,0.247,0.485,1.070
42,0.339,0.258,0.488,1.084
43,0.326,0.239,0.618,1.183
44,0.643,0.371,0.593,1.606
45,0.396,0.376,0.545,1.317
46,0.396,0.220,0.456,1.072
47,0.270,0.214,0.471,0.955
48,0.320,0.237,0.428,0.984
49,0.331,0.211,0.429,0.970
50,0.307,0.272,0.476,1.054
51,0.290,0.206,0.422,0.918
52,0.355,0.211,0.439,1.005
53,0.273,0.222,0.406,0.901
54,0.304,0.255,0.438,0.996
55,0.341,0.193,0.399,0.933
56,0.271,0.187,0.538,0.997
57,0.397,0.408,0.538,1.343
58,0.467,0.233,0.466,1.166
59,0.268,0.202,0.398,0.868
60,0.222,0.191,0.396,0.809
61,0.256,0.221,0.401,0.877
62,0.223,0.198,0.467,0.888
63,0.287,0.195,0.840,1.322
64,0.262,0.202,0.385,0.850
65,0.229,0.169,0.471,0.868
66,0.232,0.171,0.379,0.782
67,0.216,0.169,0.398,0.783
68,0.208,0.185,5.475,5.868
69,0.669,0.459,0.468,1.596
70,0.192,0.151,0.371,0.715
71,0.201,0.140,0.330,0.671
72,0.179,0.137,0.298,0.614
73,0.179,0.148,0.290,0.617
74,0.266,0.140,0.285,0.692
75,0.200,0.154,0.339,0.693
76,0.243,0.237,0.317,0.797
77,0.184,0.160,0.327,0.672
78,0.197,0.139,0.307,0.642
79,0.192,0.156,0.475,0.822
80,0.261,0.151,0.305,0.717
81,0.178,0.136,0.292,0.606
82,0.158,0.172,0.296,0.626
83,0.230,0.148,0.311,0.688
84,0.172,0.226,0.339,0.737
85,0.262,0.185,0.408,0.855
86,0.368,0.215,0.360,0.943
87,0.411,0.291,0.437,1.139
88,0.245,0.196,0.411,0.852
89,0.247,0.199,0.397,0.842
90,0.216,0.143,0.303,0.663
91,0.179,0.131,0.284,0.594
92,0.162,0.132,0.321,0.615
93,0.168,0.134,0.307,0.609
94,0.161,0.132,0.290,0.583
95,0.156,0.145,0.292,0.594
96,0.159,0.133,0.296,0.588
97,0.207,0.216,0.468,0.890
98,0.254,0.231,0.394,0.880
99,0.255,0.170,0.294,0.719
100,0.198,0.137,0.297,0.632
101,0.207,0.175,0.403,0.785
102,0.321,0.194,0.350,0.865
103,0.286,0.167,0.387,0.840
104,0.348,0.197,0.310,0.855
105,0.260,0.146,0.299,0.705
106,0.205,0.125,0.286,0.615
107,0.159,0.154,0.266,0.579
108,0.187,0.131,0.367,0.684
109,0.206,0.139,0.273,0.618
110,0.165,0.122,0.275,0.562
111,0.153,0.186,0.276,0.615
112,0.241,0.131,0.311,0.683
113,0.184,0.135,0.307,0.626
114,0.211,0.142,0.266,0.619
115,0.176,0.166,0.268,0.610
116,0.184,0.145,0.271,0.600
117,0.207,0.157,0.274,0.638
118,0.231,0.133,0.268,0.632
119,0.224,0.162,0.266,0.653
120,0.185,0.123,0.283,0.590
121,0.172,0.135,0.269,0.577
122,0.178,0.161,0.291,0.629
123,0.174,0.157,0.261,0.593
124,0.175,0.127,0.293,0.595
125,0.346,0.185,0.408,0.938
126,0.395,0.250,0.316,0.962
127,0.836,0.182,0.355,1.373
128,0.222,0.172,0.271,0.665
129,0.209,0.147,0.292,0.648
130,0.187,0.120,0.249,0.556
131,0.151,0.118,0.265,0.534
132,0.155,0.117,0.252,0.524
133,0.145,0.141,0.252,0.538
134,0.153,0.119,0.265,0.536
135,0.143,0.117,0.258,0.519
136,0.173,0.141,0.254,0.568
137,0.212,0.135,0.288,0.635
138,0.211,0.130,0.256,0.597
139,0.177,0.127,0.281,0.585
140,0.178,0.139,0.294,0.610
141,0.183,0.120,0.263,0.566
142,0.164,0.120,0.278,0.561
143,0.161,0.131,0.253,0.545
144,0.190,0.134,0.288,0.612
145,0.220,0.142,0.298,0.661
146,0.368,0.194,0.316,0.878
147,0.300,0.149,0.285,0.735
148,0.232,0.140,0.262,0.635
149,0.154,0.187,0.274,0.615
150,0.179,0.145,0.254,0.578
151,0.170,0.126,0.260,0.556
152,0.180,0.127,0.269,0.576
153,0.171,0.142,0.271,0.584
154,0.175,0.130,0.295,0.600
155,0.177,0.129,0.262,0.567
156,0.187,0.122,0.257,0.567
157,0.197,0.126,0.292,0.614
158,0.186,0.128,0.253,0.568
159,0.176,0.139,0.284,0.599
160,0.236,0.143,0.260,0.639
161,0.186,0.161,0.256,0.603
162,0.194,0.142,0.292,0.627
163,0.217,0.139,0.260,0.616
164,0.197,0.124,0.261,0.582
165,0.160,0.121,0.269,0.550
166,0.195,0.163,0.302,0.659
167,0.414,0.197,0.453,1.064
168,0.297,0.151,0.285,0.733
169,0.211,0.121,0.300,0.631
170,0.233,0.285,0.261,0.779
171,0.209,0.171,0.261,0.642
172,0.211,0.120,0.255,0.586
173,0.179,0.134,0.264,0.576
174,0.183,0.116,0.255,0.554
175,0.155,0.117,0.275,0.547
176,0.195,0.165,0.267,0.627
177,0.172,0.116,0.250,0.538
178,0.186,0.131,0.263,0.580
179,0.171,0.128,0.267,0.565
180,0.178,0.119,0.251,0.548
