Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,falcon-1024,grande,46.3591,1.9059,0.1678,48.4328
2,falcon-1024,grande,23.4049,1.9201,0.1820,25.5070
3,falcon-1024,grande,22.5999,1.8876,0.1666,24.6542
4,falcon-1024,grande,25.4485,1.9076,0.1662,27.5224
5,falcon-1024,grande,36.4901,1.8933,0.1688,38.5523
6,falcon-1024,grande,21.4487,1.8663,0.1692,23.4841
7,falcon-1024,grande,23.5950,1.8793,0.1638,25.6380
8,falcon-1024,grande,22.9597,1.8615,0.1631,24.9842
9,falcon-1024,grande,44.8188,1.8758,0.1694,46.8640
10,falcon-1024,grande,22.3507,1.8701,0.1633,24.3840
11,falcon-1024,grande,29.5625,1.8925,0.1666,31.6217
12,falcon-1024,grande,34.8691,1.9100,0.1665,36.9456
13,falcon-1024,grande,21.1687,1.8629,0.1645,23.1961
14,falcon-1024,grande,39.7476,1.9066,0.1671,41.8212
15,falcon-1024,grande,20.5607,1.9182,0.1673,22.6462
16,falcon-1024,grande,20.7108,1.9435,0.1799,22.8342
17,falcon-1024,grande,28.5359,2.9412,0.1799,31.6570
18,falcon-1024,grande,28.8082,1.9079,0.1666,30.8827
19,falcon-1024,grande,23.7335,1.9252,0.1663,25.8250
20,falcon-1024,grande,19.8050,1.8779,0.1650,21.8478
21,falcon-1024,grande,43.1297,1.8771,0.1648,45.1716
22,falcon-1024,grande,22.6137,1.8969,0.1749,24.6855
23,falcon-1024,grande,20.2450,1.9003,0.1646,22.3098
24,falcon-1024,grande,26.7617,1.8580,0.1676,28.7873
25,falcon-1024,grande,28.3527,1.8614,0.1649,30.3790
26,falcon-1024,grande,21.3028,1.8635,0.1684,23.3347
27,falcon-1024,grande,32.4463,1.8613,0.1631,34.4707
28,falcon-1024,grande,29.7935,2.3157,0.1662,32.2754
29,falcon-1024,grande,26.3865,1.8793,0.1662,28.4320
30,falcon-1024,grande,25.2325,1.8510,0.1640,27.2475
31,falcon-1024,grande,21.8660,1.8530,0.1619,23.8809
32,falcon-1024,grande,42.1440,2.9455,0.1705,45.2599
33,falcon-1024,grande,30.4789,1.8494,0.1681,32.4964
34,falcon-1024,grande,35.3643,1.8892,0.1660,37.4195
35,falcon-1024,grande,34.5282,1.8993,0.1709,36.5984
36,falcon-1024,grande,20.1538,2.8912,0.1692,23.2142
37,falcon-1024,grande,25.7041,1.8632,0.1683,27.7356
38,falcon-1024,grande,20.5937,1.8666,0.1635,22.6239
39,falcon-1024,grande,19.6669,1.8653,0.1622,21.6945
40,falcon-1024,grande,27.4080,1.8723,0.1631,29.4434
41,falcon-1024,grande,22.4472,1.9025,0.1632,24.5129
42,falcon-1024,grande,20.6055,1.8707,0.1664,22.6425
43,falcon-1024,grande,21.7193,1.8692,0.1683,23.7567
44,falcon-1024,grande,21.3977,1.8716,0.1633,23.4326
45,falcon-1024,grande,24.1389,1.8678,0.1639,26.1706
46,falcon-1024,grande,29.7885,1.8726,0.1639,31.8250
47,falcon-1024,grande,20.3050,1.8718,0.1622,22.3390
48,falcon-1024,grande,27.8017,3.0089,0.1708,30.9814
49,falcon-1024,grande,22.4500,1.8916,0.1707,24.5123
50,falcon-1024,grande,29.6736,1.8653,0.1647,31.7036
51,falcon-1024,grande,27.2177,1.8770,0.1746,29.2693
52,falcon-1024,grande,24.7611,1.8743,0.1679,26.8032
53,falcon-1024,grande,38.7211,1.9109,0.1667,40.7987
54,falcon-1024,grande,23.7372,1.8712,0.1646,25.7730
55,falcon-1024,grande,25.9741,1.8759,0.1648,28.0149
56,falcon-1024,grande,29.2915,1.8853,0.1676,31.3445
57,falcon-1024,grande,36.5353,1.8927,0.1675,38.5955
58,falcon-1024,grande,26.2416,1.8622,0.1647,28.2684
59,falcon-1024,grande,21.6719,1.8786,0.1646,23.7151
60,falcon-1024,grande,30.2330,1.8684,0.1641,32.2655
61,falcon-1024,grande,29.7825,1.9113,0.1659,31.8597
62,falcon-1024,grande,44.7378,1.8832,0.1654,46.7864
63,falcon-1024,grande,19.8237,1.8514,0.1651,21.8403
64,falcon-1024,grande,29.9604,1.8741,0.1645,31.9989
65,falcon-1024,grande,25.1412,1.8967,0.1640,27.2019
66,falcon-1024,grande,19.8296,2.9804,0.1694,22.9794
67,falcon-1024,grande,24.0606,1.9024,0.1636,26.1266
68,falcon-1024,grande,22.4178,1.8556,0.1672,24.4407
69,falcon-1024,grande,21.1235,1.8690,0.1628,23.1552
70,falcon-1024,grande,26.6644,1.8611,0.1693,28.6947
71,falcon-1024,grande,26.4625,1.8709,0.1635,28.4969
72,falcon-1024,grande,20.3016,2.9710,0.1786,23.4512
73,falcon-1024,grande,33.5495,1.8661,0.1649,35.5806
74,falcon-1024,grande,40.9817,1.8987,0.1659,43.0464
75,falcon-1024,grande,19.3699,1.8650,0.1632,21.3980
76,falcon-1024,grande,44.5383,1.8933,0.1654,46.5969
77,falcon-1024,grande,33.6259,1.8786,0.1692,35.6737
78,falcon-1024,grande,22.8495,1.8629,0.1697,24.8820
79,falcon-1024,grande,20.2799,1.8511,0.1630,22.2941
80,falcon-1024,grande,20.1238,1.8733,0.1631,22.1602
81,falcon-1024,grande,36.1956,1.8586,0.1660,38.2202
82,falcon-1024,grande,22.7437,1.8633,0.1640,24.7709
83,falcon-1024,grande,21.3777,1.8863,0.1683,23.4323
84,falcon-1024,grande,21.4791,1.8580,0.1639,23.5010
85,falcon-1024,grande,39.2708,1.8836,0.1664,41.3207
86,falcon-1024,grande,25.4750,1.8756,0.1673,27.5179
87,falcon-1024,grande,22.7104,1.8638,0.1695,24.7437
88,falcon-1024,grande,23.5235,1.8734,0.1677,25.5646
89,falcon-1024,grande,21.8050,1.8649,0.1648,23.8347
90,falcon-1024,grande,26.2976,1.9009,0.1650,28.3635
91,falcon-1024,grande,34.8521,1.9079,0.1694,36.9295
92,falcon-1024,grande,22.8909,1.8618,0.1665,24.9191
93,falcon-1024,grande,23.2251,1.8502,0.1672,25.2425
94,falcon-1024,grande,23.3723,1.8595,0.1630,25.3948
95,falcon-1024,grande,29.7909,1.8612,0.1636,31.8157
96,falcon-1024,grande,24.4956,1.8934,0.1650,26.5540
97,falcon-1024,grande,25.6814,1.8555,0.1641,27.7009
98,falcon-1024,grande,27.5200,1.8633,0.1680,29.5513
99,falcon-1024,grande,20.8614,1.9309,0.1766,22.9689
100,falcon-1024,grande,19.3956,1.8689,0.1644,21.4289
101,falcon-1024,grande,64.2492,1.8881,0.1653,66.3026
102,falcon-1024,grande,41.6368,1.8691,0.1654,43.6713
103,falcon-1024,grande,33.6486,1.8669,0.1666,35.6820
104,falcon-1024,grande,28.7203,1.8858,0.1637,30.7698
105,falcon-1024,grande,22.9964,1.8838,0.1694,25.0496
106,falcon-1024,grande,20.4235,1.8628,0.1627,22.4490
107,falcon-1024,grande,26.3795,1.8631,0.1642,28.4068
108,falcon-1024,grande,34.6792,1.8771,0.1646,36.7209
109,falcon-1024,grande,27.2729,1.8755,0.1635,29.3119
110,falcon-1024,grande,21.6612,1.8870,0.1687,23.7169
111,falcon-1024,grande,21.7007,1.8581,0.1630,23.7219
112,falcon-1024,grande,21.0459,1.8797,0.1645,23.0901
113,falcon-1024,grande,22.6003,1.8715,0.1692,24.6411
114,falcon-1024,grande,27.4453,1.8651,0.1663,29.4768
115,falcon-1024,grande,20.6507,2.0795,0.1712,22.9013
116,falcon-1024,grande,21.7021,1.8788,0.1641,23.7450
117,falcon-1024,grande,26.8164,1.8534,0.1681,28.8380
118,falcon-1024,grande,19.8117,1.8524,0.1664,21.8305
119,falcon-1024,grande,47.1443,2.0435,0.1731,49.3609
120,falcon-1024,grande,23.5653,1.8605,0.1686,25.5944
121,falcon-1024,grande,27.6047,1.9014,0.1653,29.6713
122,falcon-1024,grande,21.6672,1.8743,0.1663,23.7079
123,falcon-1024,grande,23.5126,1.8616,0.1656,25.5398
124,falcon-1024,grande,26.5881,1.8640,0.1640,28.6161
125,falcon-1024,grande,20.2745,1.8689,0.1646,22.3080
126,falcon-1024,grande,19.6536,1.8767,0.1636,21.6940
127,falcon-1024,grande,21.9605,1.8863,0.1689,24.0157
128,falcon-1024,grande,21.4350,1.8493,0.1658,23.4501
129,falcon-1024,grande,25.9467,1.8754,0.1662,27.9884
130,falcon-1024,grande,20.3718,1.8813,0.1644,22.4174
131,falcon-1024,grande,38.8016,1.8618,0.1652,40.8287
132,falcon-1024,grande,26.3420,1.8820,0.1655,28.3895
133,falcon-1024,grande,21.3971,1.8611,0.1677,23.4259
134,falcon-1024,grande,26.0773,1.8823,0.1681,28.1277
135,falcon-1024,grande,36.0859,1.8847,0.1645,38.1351
136,falcon-1024,grande,19.9203,1.8684,0.1631,21.9518
137,falcon-1024,grande,45.5284,1.8804,0.1665,47.5753
138,falcon-1024,grande,20.3420,1.8608,0.1624,22.3651
139,falcon-1024,grande,22.2984,1.8661,0.1672,24.3317
140,falcon-1024,grande,24.6519,1.8581,0.1630,26.6730
141,falcon-1024,grande,20.1866,1.8736,0.1633,22.2235
142,falcon-1024,grande,21.7021,1.8668,0.1632,23.7322
143,falcon-1024,grande,25.2776,1.8529,0.1633,27.2939
144,falcon-1024,grande,23.8152,1.8668,0.1631,25.8451
145,falcon-1024,grande,24.4517,1.9051,0.1676,26.5244
146,falcon-1024,grande,25.3507,1.8832,0.1634,27.3973
147,falcon-1024,grande,27.0126,2.8204,0.1684,30.0013
148,falcon-1024,grande,19.8093,1.8720,0.1677,21.8491
149,falcon-1024,grande,23.7129,1.8745,0.1652,25.7526
150,falcon-1024,grande,22.4146,1.8703,0.1629,24.4478
151,falcon-1024,grande,42.8064,1.8705,0.1646,44.8415
152,falcon-1024,grande,25.2340,1.8630,0.1658,27.2628
153,falcon-1024,grande,20.4688,1.8766,0.1666,22.5121
154,falcon-1024,grande,38.9825,1.8571,0.1683,41.0079
155,falcon-1024,grande,25.8946,1.9035,0.1668,27.9649
156,falcon-1024,grande,46.3427,1.8905,0.1666,48.3998
157,falcon-1024,grande,29.8991,1.8894,0.1701,31.9585
158,falcon-1024,grande,21.5087,1.8991,0.1636,23.5714
159,falcon-1024,grande,37.9171,1.8801,0.1642,39.9614
160,falcon-1024,grande,20.9616,1.8532,0.1624,22.9771
161,falcon-1024,grande,21.6568,1.8798,0.1681,23.7047
162,falcon-1024,grande,28.2581,1.9009,0.1656,30.3247
163,falcon-1024,grande,26.2043,1.8552,0.1661,28.2257
164,falcon-1024,grande,37.0226,1.8743,0.1657,39.0626
165,falcon-1024,grande,20.6690,1.8782,0.1629,22.7102
166,falcon-1024,grande,34.2996,1.8702,0.1659,36.3358
167,falcon-1024,grande,21.2055,1.8959,0.1628,23.2641
168,falcon-1024,grande,20.6376,1.8516,0.1625,22.6517
169,falcon-1024,grande,19.8442,1.8724,0.1690,21.8856
170,falcon-1024,grande,24.8341,1.8649,0.1699,26.8689
171,falcon-1024,grande,47.5043,2.9304,0.1695,50.6042
172,falcon-1024,grande,26.1096,1.8552,0.1642,28.1290
173,falcon-1024,grande,20.6258,1.8695,0.1666,22.6619
174,falcon-1024,grande,33.7993,1.8931,0.1653,35.8576
175,falcon-1024,grande,19.4034,1.8709,0.1647,21.4390
176,falcon-1024,grande,27.0106,3.0399,0.1680,30.2185
177,falcon-1024,grande,20.8904,1.8674,0.1633,22.9212
178,falcon-1024,grande,19.6417,1.8719,0.1653,21.6788
179,falcon-1024,grande,21.5178,1.8758,0.1677,23.5613
180,falcon-1024,grande,20.4987,1.8432,0.1647,22.5066
181,falcon-1024,grande,20.8772,1.8596,0.1624,22.8992
182,falcon-1024,grande,28.6983,1.8685,0.1654,30.7321
183,falcon-1024,grande,21.6398,1.8643,0.1655,23.6696
184,falcon-1024,grande,20.3211,1.8837,0.1640,22.3688
185,falcon-1024,grande,19.6562,1.8467,0.1667,21.6696
186,falcon-1024,grande,32.7582,1.8641,0.1644,34.7867
187,falcon-1024,grande,22.6052,1.8615,0.1649,24.6316
188,falcon-1024,grande,23.5359,1.8554,0.1699,25.5613
189,falcon-1024,grande,24.5627,1.8911,0.1650,26.6188
190,falcon-1024,grande,20.9769,2.0394,0.1735,23.1898
191,falcon-1024,grande,24.5782,1.9252,0.1700,26.6735
192,falcon-1024,grande,26.2753,1.9422,0.1695,28.3870
193,falcon-1024,grande,24.2271,1.9231,0.1712,26.3214
194,falcon-1024,grande,21.0099,2.4946,0.1706,23.6751
195,falcon-1024,grande,19.9249,1.8801,0.1648,21.9699
196,falcon-1024,grande,22.3479,1.8581,0.1638,24.3697
197,falcon-1024,grande,40.0763,1.9491,0.1691,42.1945
198,falcon-1024,grande,24.6206,1.9219,0.1665,26.7091
199,falcon-1024,grande,35.2359,2.9768,0.1681,38.3808
200,falcon-1024,grande,38.3032,1.8859,0.1804,40.3695
201,falcon-1024,grande,20.5525,1.8423,0.1652,22.5600
202,falcon-1024,grande,28.7256,1.8619,0.1636,30.7511
203,falcon-1024,grande,21.6281,1.8775,0.1673,23.6730
204,falcon-1024,grande,25.2896,1.8820,0.1648,27.3364
205,falcon-1024,grande,27.7901,1.8499,0.1648,29.8048
206,falcon-1024,grande,52.0481,1.8837,0.1662,54.0980
207,falcon-1024,grande,24.2072,1.8637,0.1633,26.2342
208,falcon-1024,grande,23.3481,1.8752,0.1641,25.3874
209,falcon-1024,grande,26.5796,1.8900,0.1648,28.6344
210,falcon-1024,grande,28.0474,1.8635,0.1637,30.0746
211,falcon-1024,grande,21.9381,1.9226,0.1671,24.0278
212,falcon-1024,grande,24.2505,1.8593,0.1631,26.2730
213,falcon-1024,grande,24.9182,1.9132,0.1654,26.9969
214,falcon-1024,grande,29.1093,1.8691,0.1697,31.1481
215,falcon-1024,grande,26.3537,1.8639,0.1628,28.3803
216,falcon-1024,grande,22.3251,1.8551,0.1672,24.3473
217,falcon-1024,grande,30.0119,1.8758,0.1651,32.0528
218,falcon-1024,grande,22.5587,1.8504,0.1646,24.5737
219,falcon-1024,grande,24.4458,1.8885,0.1667,26.5009
220,falcon-1024,grande,26.8451,1.8761,0.1681,28.8893
221,falcon-1024,grande,22.4920,1.8585,0.1639,24.5144
222,falcon-1024,grande,22.1641,1.8825,0.1657,24.2123
223,falcon-1024,grande,33.2817,1.8662,0.1675,35.3154
224,falcon-1024,grande,22.0616,1.8660,0.1678,24.0954
225,falcon-1024,grande,25.5437,1.8864,0.1671,27.5972
226,falcon-1024,grande,30.8827,1.9072,0.1682,32.9582
227,falcon-1024,grande,26.8808,1.9006,0.1665,28.9478
228,falcon-1024,grande,33.2632,1.8802,0.1656,35.3090
229,falcon-1024,grande,45.0118,1.8616,0.1661,47.0395
230,falcon-1024,grande,26.8001,1.8893,0.1643,28.8537
231,falcon-1024,grande,21.9562,1.8644,0.1643,23.9849
232,falcon-1024,grande,26.8743,1.8786,0.1655,28.9184
233,falcon-1024,grande,19.8494,1.8695,0.1640,21.8829
234,falcon-1024,grande,35.6264,1.9241,0.1644,37.7149
235,falcon-1024,grande,30.5937,1.8600,0.1639,32.6176
236,falcon-1024,grande,20.2704,1.8754,0.1650,22.3108
237,falcon-1024,grande,20.5521,1.8805,0.1628,22.5954
238,falcon-1024,grande,19.8231,1.8738,0.1640,21.8609
239,falcon-1024,grande,22.8912,1.8768,0.1643,24.9322
240,falcon-1024,grande,24.6376,1.8835,0.1649,26.6860
241,falcon-1024,grande,21.3281,1.8655,0.1677,23.3613
242,falcon-1024,grande,28.4350,1.8663,0.1642,30.4654
243,falcon-1024,grande,26.5785,1.8836,0.1686,28.6307
244,falcon-1024,grande,23.3249,1.8941,0.1647,25.3837
245,falcon-1024,grande,21.3063,1.8742,0.1634,23.3438
246,falcon-1024,grande,32.7681,1.8674,0.1641,34.7996
247,falcon-1024,grande,32.9810,1.8664,0.1643,35.0118
248,falcon-1024,grande,27.6588,1.8695,0.1725,29.7008
249,falcon-1024,grande,48.7395,1.9037,0.1662,50.8094
250,falcon-1024,grande,20.5220,1.8778,0.1645,22.5642
251,falcon-1024,grande,26.4666,1.8636,0.1680,28.4982
252,falcon-1024,grande,19.3565,1.8730,0.1635,21.3930
253,falcon-1024,grande,19.3251,1.8711,0.1626,21.3587
254,falcon-1024,grande,27.9235,1.8823,0.1659,29.9717
255,falcon-1024,grande,47.1074,1.8696,0.1656,49.1426
256,falcon-1024,grande,30.4289,1.8800,0.1641,32.4731
257,falcon-1024,grande,19.8095,1.8730,0.1632,21.8457
258,falcon-1024,grande,31.7313,2.7090,0.1686,34.6089
259,falcon-1024,grande,19.4711,1.8681,0.1665,21.5057
260,falcon-1024,grande,20.2221,1.8664,0.1702,22.2587
261,falcon-1024,grande,22.3840,1.8789,0.1700,24.4328
262,falcon-1024,grande,28.2191,1.8856,0.1668,30.2714
263,falcon-1024,grande,19.8515,1.8902,0.1646,21.9063
264,falcon-1024,grande,23.4869,1.8771,0.1682,25.5322
265,falcon-1024,grande,24.7069,1.8772,0.1669,26.7511
266,falcon-1024,grande,20.8524,1.8587,0.1646,22.8757
267,falcon-1024,grande,23.6284,1.8901,0.1693,25.6878
268,falcon-1024,grande,22.6080,1.8713,0.1649,24.6441
269,falcon-1024,grande,21.2932,1.8798,0.1687,23.3417
270,falcon-1024,grande,19.6626,1.8531,0.1642,21.6800
271,falcon-1024,grande,19.6765,2.9800,0.1700,22.8265
272,falcon-1024,grande,23.9113,1.8861,0.1624,25.9598
273,falcon-1024,grande,29.2961,1.8594,0.1650,31.3205
274,falcon-1024,grande,22.8065,1.8810,0.1647,24.8522
275,falcon-1024,grande,29.0028,1.8796,0.1643,31.0467
276,falcon-1024,grande,24.9201,1.8864,0.1646,26.9711
277,falcon-1024,grande,48.1044,1.8747,0.1694,50.1485
278,falcon-1024,grande,23.7578,1.8554,0.1644,25.7776
279,falcon-1024,grande,20.9416,1.8588,0.1649,22.9653
280,falcon-1024,grande,30.6921,2.8408,0.1713,33.7041
281,falcon-1024,grande,35.2662,1.8590,0.1641,37.2893
282,falcon-1024,grande,19.7964,1.8593,0.1645,21.8202
283,falcon-1024,grande,20.3685,1.8676,0.1687,22.4047
284,falcon-1024,grande,34.8753,1.8752,0.1653,36.9158
285,falcon-1024,grande,38.0107,1.8606,0.1658,40.0371
286,falcon-1024,grande,25.1380,1.8687,0.1708,27.1775
287,falcon-1024,grande,21.2931,1.8400,0.1648,23.2978
288,falcon-1024,grande,21.2949,1.8715,0.1674,23.3338
289,falcon-1024,grande,44.8380,1.8799,0.1666,46.8846
