Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,falcon-512,pequeño,72.9459,12.2658,0.9420,86.1537
2,falcon-512,pequeño,44.0977,5.1544,0.9135,50.1655
3,falcon-512,pequeño,16.9145,7.4050,0.9317,25.2512
4,falcon-512,pequeño,13.4170,5.8170,0.5596,19.7936
5,falcon-512,pequeño,21.1683,5.5854,0.5276,27.2813
6,falcon-512,pequeño,20.3065,5.8556,0.5373,26.6994
7,falcon-512,pequeño,11.4941,4.8704,0.3641,16.7286
8,falcon-512,pequeño,16.1861,4.5743,0.3288,21.0891
9,falcon-512,pequeño,17.5181,4.5302,0.4508,22.4991
10,falcon-512,pequeño,14.7139,5.2655,0.4299,20.4093
11,falcon-512,pequeño,11.1922,4.7046,0.3231,16.2199
12,falcon-512,pequeño,16.7640,3.2107,0.3182,20.2929
13,falcon-512,pequeño,9.5916,2.3370,0.3008,12.2295
14,falcon-512,pequeño,10.9619,2.0294,0.2913,13.2826
15,falcon-512,pequeño,12.7834,2.0224,0.2868,15.0926
16,falcon-512,pequeño,8.5502,1.9793,0.2899,10.8194
17,falcon-512,pequeño,16.6947,1.9891,0.2930,18.9767
18,falcon-512,pequeño,12.0087,1.8634,0.2832,14.1552
19,falcon-512,pequeño,9.8259,1.8611,0.2868,11.9738
20,falcon-512,pequeño,10.1435,1.6420,0.3139,12.0994
21,falcon-512,pequeño,8.2389,1.5537,0.3626,10.1552
22,falcon-512,pequeño,10.2866,1.5909,0.2368,12.1143
23,falcon-512,pequeño,9.0978,1.6116,0.2324,10.9418
24,falcon-512,pequeño,8.6639,2.4319,0.2357,11.3315
25,falcon-512,pequeño,10.5092,1.4322,0.2349,12.1763
26,falcon-512,pequeño,7.6099,1.4619,0.3353,9.4071
27,falcon-512,pequeño,9.3636,1.4218,0.2188,11.0042
28,falcon-512,pequeño,8.6186,1.2875,0.2125,10.1186
29,falcon-512,pequeño,12.2755,1.3967,0.2246,13.8968
30,falcon-512,pequeño,7.7654,1.2957,0.2185,9.2797
31,falcon-512,pequeño,7.8753,1.3752,0.2230,9.4735
32,falcon-512,pequeño,8.5431,1.2922,0.2171,10.0524
33,falcon-512,pequeño,12.0851,1.2456,0.2182,13.5489
34,falcon-512,pequeño,8.1752,1.2295,0.2185,9.6233
35,falcon-512,pequeño,7.4261,1.2578,0.2238,8.9077
36,falcon-512,pequeño,8.3750,1.2287,0.2195,9.8232
37,falcon-512,pequeño,7.9963,1.2769,0.2192,9.4924
38,falcon-512,pequeño,11.1478,1.2778,0.2193,12.6449
39,falcon-512,pequeño,13.6257,1.3083,0.2838,15.2178
40,falcon-512,pequeño,8.4463,1.7004,0.2938,10.4405
41,falcon-512,pequeño,11.2671,1.6201,0.3038,13.1909
42,falcon-512,pequeño,11.5063,1.6954,0.3146,13.5163
43,falcon-512,pequeño,10.3132,1.2730,0.2288,11.8149
44,falcon-512,pequeño,8.6498,1.1221,0.2223,9.9942
45,falcon-512,pequeño,12.7940,1.0726,0.2141,14.0806
46,falcon-512,pequeño,9.5104,1.1129,0.2609,10.8842
47,falcon-512,pequeño,11.3760,1.0876,0.2241,12.6877
48,falcon-512,pequeño,8.4798,1.1184,0.2216,9.8198
49,falcon-512,pequeño,7.5994,1.0780,0.2113,8.8887
50,falcon-512,pequeño,9.9905,1.3277,0.2237,11.5420
51,falcon-512,pequeño,17.2661,1.2158,0.2333,18.7151
52,falcon-512,pequeño,10.8242,1.2532,0.2043,12.2817
53,falcon-512,pequeño,12.0422,1.1959,0.2100,13.4481
54,falcon-512,pequeño,7.4491,1.0671,0.1899,8.7062
55,falcon-512,pequeño,7.4627,1.0821,0.1921,8.7369
56,falcon-512,pequeño,10.8369,1.4028,0.1949,12.4346
57,falcon-512,pequeño,9.1533,1.1139,0.1859,10.4531
58,falcon-512,pequeño,8.3423,1.0335,0.1905,9.5664
59,falcon-512,pequeño,7.7199,1.0336,0.2099,8.9634
60,falcon-512,pequeño,7.8433,1.1621,0.2201,9.2255
61,falcon-512,pequeño,8.1566,1.1328,0.2584,9.5477
62,falcon-512,pequeño,10.5993,1.0523,0.2164,11.8680
63,falcon-512,pequeño,8.9579,1.0433,0.1747,10.1760
64,falcon-512,pequeño,8.0293,1.0205,0.1791,9.2289
65,falcon-512,pequeño,8.0593,1.9566,0.1796,10.1954
66,falcon-512,pequeño,7.6731,1.0552,0.1664,8.8947
67,falcon-512,pequeño,7.9232,1.0596,0.1757,9.1585
68,falcon-512,pequeño,7.8114,1.0575,0.1782,9.0471
69,falcon-512,pequeño,15.5956,1.0191,0.1617,16.7763
70,falcon-512,pequeño,8.7516,1.1168,0.2973,10.1657
71,falcon-512,pequeño,10.1537,1.0567,0.1406,11.3511
72,falcon-512,pequeño,25.0001,1.0067,0.1383,26.1450
73,falcon-512,pequeño,8.9078,1.0287,0.1386,10.0751
74,falcon-512,pequeño,8.7697,1.1308,0.1604,10.0610
75,falcon-512,pequeño,12.5857,1.1804,0.2330,13.9990
76,falcon-512,pequeño,8.8045,1.0414,0.1766,10.0226
