Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
1,349.070,16.894,0.237,366.200
2,37.370,1.490,0.163,39.024
3,133.302,1.408,0.175,134.885
4,67.311,1.349,0.129,68.789
5,409.179,1.286,0.122,410.586
6,80.449,1.253,0.119,81.821
7,83.045,1.208,0.121,84.374
8,170.436,1.240,0.126,171.803
9,145.516,1.251,0.122,146.889
10,193.303,1.254,0.134,194.690
11,153.813,1.308,0.156,155.278
12,89.955,1.223,0.117,91.295
13,80.185,1.211,0.116,81.512
14,170.490,1.187,0.123,171.800
15,27.229,1.214,0.126,28.569
16,77.635,1.195,0.125,78.955
17,135.778,1.208,0.106,137.092
18,395.411,1.213,0.104,396.728
19,100.045,1.218,0.119,101.382
20,112.756,1.184,0.117,114.056
21,89.444,1.209,0.104,90.757
22,174.879,1.194,0.131,176.204
23,52.983,1.188,0.109,54.280
24,143.788,1.194,0.106,145.089
25,150.510,1.242,0.117,151.869
26,226.535,1.244,0.173,227.952
27,53.896,1.222,0.136,55.255
28,223.543,1.166,0.105,224.815
29,138.552,1.168,0.102,139.822
30,278.865,1.228,0.115,280.208
31,101.220,1.163,0.101,102.483
32,415.028,1.165,0.212,416.405
33,159.037,1.171,0.102,160.310
34,63.842,1.143,0.109,65.095
35,315.185,1.177,0.108,316.471
36,22.248,1.147,0.098,23.493
37,172.779,1.186,0.109,174.074
38,95.708,1.166,0.114,96.988
39,169.782,1.157,0.103,171.041
40,65.263,1.149,0.135,66.548
41,36.406,1.141,0.099,37.646
42,21.928,1.133,0.106,23.167
43,169.263,1.280,0.130,170.673
44,133.958,1.185,0.100,135.242
45,69.121,1.141,0.100,70.362
46,58.105,1.131,0.099,59.335
47,51.110,1.191,0.109,52.410
48,102.981,1.148,0.119,104.248
49,166.651,1.151,0.109,167.911
50,90.949,1.140,0.110,92.199
51,57.203,1.160,0.099,58.462
52,183.170,1.162,0.183,184.515
