Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHA-2 192-bit, robust",11.219,190.557,9.323,211.099
2,"SHA-2 192-bit, robust",6.077,158.682,8.509,173.268
3,"SHA-2 192-bit, robust",5.907,157.148,8.447,171.502
4,"SHA-2 192-bit, robust",5.860,155.073,9.018,169.951
5,"SHA-2 192-bit, robust",5.894,155.384,8.784,170.062
6,"SHA-2 192-bit, robust",5.814,155.735,8.775,170.325
7,"SHA-2 192-bit, robust",5.897,154.296,8.439,168.632
8,"SHA-2 192-bit, robust",5.864,155.264,8.411,169.539
9,"SHA-2 192-bit, robust",5.866,155.265,8.393,169.523
10,"SHA-2 192-bit, robust",5.851,155.530,9.087,170.468
11,"SHA-2 192-bit, robust",5.858,155.268,8.781,169.907
12,"SHA-2 192-bit, robust",5.819,154.021,8.492,168.332
13,"SHA-2 192-bit, robust",5.826,155.889,8.483,170.198
14,"SHA-2 192-bit, robust",5.850,155.912,8.464,170.227
15,"SHA-2 192-bit, robust",5.856,155.856,8.655,170.367
16,"SHA-2 192-bit, robust",5.824,155.411,8.566,169.801
17,"SHA-2 192-bit, robust",5.847,154.158,8.733,168.737
18,"SHA-2 192-bit, robust",5.869,155.909,8.344,170.122
19,"SHA-2 192-bit, robust",6.060,155.808,8.432,170.300
20,"SHA-2 192-bit, robust",5.841,155.358,8.504,169.704
21,"SHA-2 192-bit, robust",5.846,155.613,8.497,169.957
22,"SHA-2 192-bit, robust",5.837,154.578,8.457,168.871
23,"SHA-2 192-bit, robust",6.848,154.765,8.416,170.028
24,"SHA-2 192-bit, robust",5.838,155.234,8.720,169.792
25,"SHA-2 192-bit, robust",5.845,155.504,8.956,170.306
26,"SHA-2 192-bit, robust",5.858,155.556,8.493,169.908
27,"SHA-2 192-bit, robust",5.813,154.009,8.577,168.399
28,"SHA-2 192-bit, robust",7.132,154.697,9.136,170.965
29,"SHA-2 192-bit, robust",5.924,155.221,8.366,169.511
30,"SHA-2 192-bit, robust",5.888,155.320,8.524,169.732
31,"SHA-2 192-bit, robust",5.894,155.305,8.372,169.571
32,"SHA-2 192-bit, robust",5.903,156.544,8.599,171.046
33,"SHA-2 192-bit, robust",6.800,155.843,8.745,171.388
34,"SHA-2 192-bit, robust",5.857,154.941,8.785,169.583
35,"SHA-2 192-bit, robust",5.836,155.988,8.418,170.242
36,"SHA-2 192-bit, robust",5.846,155.406,8.625,169.877
37,"SHA-2 192-bit, robust",5.855,154.149,8.469,168.472
38,"SHA-2 192-bit, robust",6.572,154.259,8.546,169.378
39,"SHA-2 192-bit, robust",5.837,155.333,8.486,169.655
40,"SHA-2 192-bit, robust",5.841,155.067,8.520,169.428
41,"SHA-2 192-bit, robust",5.841,155.032,8.668,169.541
42,"SHA-2 192-bit, robust",5.868,154.372,8.388,168.629
43,"SHA-2 192-bit, robust",6.916,154.803,8.565,170.284
44,"SHA-2 192-bit, robust",5.845,155.044,8.655,169.544
45,"SHA-2 192-bit, robust",5.861,155.233,8.435,169.529
46,"SHA-2 192-bit, robust",5.859,160.011,8.707,174.577
47,"SHA-2 192-bit, robust",5.952,155.020,9.557,170.530
48,"SHA-2 192-bit, robust",5.932,154.956,8.687,169.576
49,"SHA-2 192-bit, robust",5.876,155.126,8.511,169.514
50,"SHA-2 192-bit, robust",5.855,155.518,8.578,169.951
51,"SHA-2 192-bit, robust",5.888,159.210,8.865,173.963
52,"SHA-2 192-bit, robust",6.118,162.563,9.153,177.834
53,"SHA-2 192-bit, robust",6.167,155.735,8.532,170.434
54,"SHA-2 192-bit, robust",5.942,157.620,9.160,172.723
55,"SHA-2 192-bit, robust",7.369,158.233,8.646,174.248
56,"SHA-2 192-bit, robust",6.718,156.800,8.664,172.181
57,"SHA-2 192-bit, robust",5.913,155.967,9.620,171.499
58,"SHA-2 192-bit, robust",5.955,156.701,8.621,171.278
59,"SHA-2 192-bit, robust",5.892,155.751,8.655,170.298
60,"SHA-2 192-bit, robust",5.892,155.754,8.664,170.310
61,"SHA-2 192-bit, robust",5.935,156.445,8.298,170.678
62,"SHA-2 192-bit, robust",5.846,161.135,9.600,176.582
63,"SHA-2 192-bit, robust",5.858,155.986,8.574,170.418
64,"SHA-2 192-bit, robust",6.272,156.714,8.716,171.702
65,"SHA-2 192-bit, robust",5.859,157.616,8.739,172.214
