Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHA-2_192-bit, standard_robust",387.554,3845.987,3.129,4236.670
2,"SHA-2_192-bit, standard_robust",417.972,3802.481,3.192,4223.645
3,"SHA-2_192-bit, standard_robust",404.289,3799.048,3.109,4206.446
4,"SHA-2_192-bit, standard_robust",408.178,3819.917,3.106,4231.201
5,"SHA-2_192-bit, standard_robust",388.099,3821.356,3.067,4212.522
6,"SHA-2_192-bit, standard_robust",386.798,3811.576,3.119,4201.493
7,"SHA-2_192-bit, standard_robust",388.080,3820.755,3.148,4211.983
8,"SHA-2_192-bit, standard_robust",387.037,3810.362,3.162,4200.561
9,"SHA-2_192-bit, standard_robust",388.117,3807.237,3.149,4198.503
10,"SHA-2_192-bit, standard_robust",387.330,3807.625,3.107,4198.063
11,"SHA-2_192-bit, standard_robust",389.674,3825.012,3.186,4217.873
12,"SHA-2_192-bit, standard_robust",387.483,3820.452,3.084,4211.020
13,"SHA-2_192-bit, standard_robust",389.127,3826.230,2.987,4218.343
14,"SHA-2_192-bit, standard_robust",386.644,3821.255,3.134,4211.033
15,"SHA-2_192-bit, standard_robust",388.991,3822.727,3.085,4214.804
16,"SHA-2_192-bit, standard_robust",386.877,3818.104,3.170,4208.151
17,"SHA-2_192-bit, standard_robust",388.657,3813.963,3.221,4205.841
18,"SHA-2_192-bit, standard_robust",386.958,3823.942,3.050,4213.950
19,"SHA-2_192-bit, standard_robust",388.374,3817.983,3.262,4209.620
20,"SHA-2_192-bit, standard_robust",386.447,3815.483,3.174,4205.105
21,"SHA-2_192-bit, standard_robust",389.155,3824.023,3.097,4216.274
22,"SHA-2_192-bit, standard_robust",413.300,3791.934,3.227,4208.461
23,"SHA-2_192-bit, standard_robust",412.820,3815.359,3.147,4231.326
24,"SHA-2_192-bit, standard_robust",387.190,3798.222,3.193,4188.604
25,"SHA-2_192-bit, standard_robust",388.015,3820.457,3.049,4211.521
26,"SHA-2_192-bit, standard_robust",387.024,3821.686,2.973,4211.683
27,"SHA-2_192-bit, standard_robust",388.372,3822.194,5.237,4215.804
28,"SHA-2_192-bit, standard_robust",386.629,3823.759,3.176,4213.564
29,"SHA-2_192-bit, standard_robust",387.841,3815.835,4.052,4207.729
30,"SHA-2_192-bit, standard_robust",388.587,3807.266,3.073,4198.926
31,"SHA-2_192-bit, standard_robust",387.746,3809.986,3.199,4200.931
32,"SHA-2_192-bit, standard_robust",388.192,3821.297,3.038,4212.526
33,"SHA-2_192-bit, standard_robust",388.897,3797.136,3.194,4189.227
34,"SHA-2_192-bit, standard_robust",389.017,3818.057,3.069,4210.143
35,"SHA-2_192-bit, standard_robust",388.380,3826.350,3.151,4217.880
36,"SHA-2_192-bit, standard_robust",389.184,3820.499,3.012,4212.695
37,"SHA-2_192-bit, standard_robust",388.928,3829.890,3.182,4222.001
38,"SHA-2_192-bit, standard_robust",388.786,3825.264,3.175,4217.226
39,"SHA-2_192-bit, standard_robust",388.122,3810.818,3.164,4202.104
40,"SHA-2_192-bit, standard_robust",389.827,3835.968,3.080,4228.875
41,"SHA-2_192-bit, standard_robust",394.802,3795.543,2.974,4193.318
42,"SHA-2_192-bit, standard_robust",416.618,3798.652,3.062,4218.332
43,"SHA-2_192-bit, standard_robust",387.349,3829.632,3.059,4220.039
44,"SHA-2_192-bit, standard_robust",389.122,3811.994,3.050,4204.166
45,"SHA-2_192-bit, standard_robust",388.165,3809.659,3.254,4201.078
46,"SHA-2_192-bit, standard_robust",389.349,3824.183,3.208,4216.741
47,"SHA-2_192-bit, standard_robust",388.143,3807.283,3.121,4198.547
48,"SHA-2_192-bit, standard_robust",388.353,3825.667,3.019,4217.039
49,"SHA-2_192-bit, standard_robust",390.101,3825.763,3.185,4219.048
50,"SHA-2_192-bit, standard_robust",390.664,3825.272,2.999,4218.934
51,"SHA-2_192-bit, standard_robust",387.552,3824.222,3.113,4214.887
52,"SHA-2_192-bit, standard_robust",391.001,3825.117,2.983,4219.102
53,"SHA-2_192-bit, standard_robust",388.233,3810.390,3.011,4201.635
54,"SHA-2_192-bit, standard_robust",389.564,3823.027,3.087,4215.679
55,"SHA-2_192-bit, standard_robust",390.821,3802.039,3.138,4195.998
56,"SHA-2_192-bit, standard_robust",388.136,3800.043,3.209,4191.388
57,"SHA-2_192-bit, standard_robust",388.230,3822.549,3.116,4213.895
58,"SHA-2_192-bit, standard_robust",388.500,3806.531,3.044,4198.075
59,"SHA-2_192-bit, standard_robust",388.924,3811.130,3.088,4203.142
60,"SHA-2_192-bit, standard_robust",393.555,3801.051,3.204,4197.811
61,"SHA-2_192-bit, standard_robust",392.765,3820.557,3.175,4216.497
62,"SHA-2_192-bit, standard_robust",389.084,3820.293,3.172,4212.549
63,"SHA-2_192-bit, standard_robust",387.753,3803.364,3.135,4194.252
64,"SHA-2_192-bit, standard_robust",388.341,3811.295,3.144,4202.780
65,"SHA-2_192-bit, standard_robust",387.194,3808.227,3.196,4198.617
66,"SHA-2_192-bit, standard_robust",387.682,3815.772,2.955,4206.409
67,"SHA-2_192-bit, standard_robust",387.675,3794.767,3.103,4185.545
68,"SHA-2_192-bit, standard_robust",388.570,3825.121,3.083,4216.773
69,"SHA-2_192-bit, standard_robust",388.620,3800.432,3.105,4192.158
70,"SHA-2_192-bit, standard_robust",389.199,3832.255,3.070,4224.524
71,"SHA-2_192-bit, standard_robust",389.133,3813.213,3.131,4205.476
72,"SHA-2_192-bit, standard_robust",388.654,3831.900,3.130,4223.684
73,"SHA-2_192-bit, standard_robust",387.606,3828.887,3.100,4219.593
74,"SHA-2_192-bit, standard_robust",388.643,3810.305,3.181,4202.128
75,"SHA-2_192-bit, standard_robust",388.607,3819.372,3.171,4211.150
76,"SHA-2_192-bit, standard_robust",388.979,3807.440,3.095,4199.514
77,"SHA-2_192-bit, standard_robust",388.500,3803.726,3.060,4195.286
78,"SHA-2_192-bit, standard_robust",388.767,3815.441,3.000,4207.207
79,"SHA-2_192-bit, standard_robust",391.659,3803.882,3.095,4198.636
80,"SHA-2_192-bit, standard_robust",403.007,3796.571,3.345,4202.923
81,"SHA-2_192-bit, standard_robust",407.309,3811.518,3.166,4221.993
82,"SHA-2_192-bit, standard_robust",388.494,3809.623,3.086,4201.203
83,"SHA-2_192-bit, standard_robust",388.339,3798.772,3.223,4190.334
84,"SHA-2_192-bit, standard_robust",388.634,3810.878,3.017,4202.529
85,"SHA-2_192-bit, standard_robust",389.108,3814.150,2.994,4206.253
86,"SHA-2_192-bit, standard_robust",387.981,3808.478,3.102,4199.561
87,"SHA-2_192-bit, standard_robust",388.313,3792.729,3.095,4184.137
88,"SHA-2_192-bit, standard_robust",387.793,3819.537,3.220,4210.550
89,"SHA-2_192-bit, standard_robust",388.329,3815.227,3.190,4206.746
90,"SHA-2_192-bit, standard_robust",387.751,3812.576,3.175,4203.502
91,"SHA-2_192-bit, standard_robust",387.766,3824.104,3.077,4214.947
92,"SHA-2_192-bit, standard_robust",388.383,3825.375,3.072,4216.830
93,"SHA-2_192-bit, standard_robust",388.999,3796.179,3.043,4188.221
94,"SHA-2_192-bit, standard_robust",387.794,3816.594,3.073,4207.461
95,"SHA-2_192-bit, standard_robust",387.925,3814.755,3.114,4205.794
96,"SHA-2_192-bit, standard_robust",388.806,3814.086,3.110,4206.002
97,"SHA-2_192-bit, standard_robust",388.035,3796.684,3.079,4187.798
98,"SHA-2_192-bit, standard_robust",391.871,3809.878,3.010,4204.759
99,"SHA-2_192-bit, standard_robust",389.851,3800.183,2.991,4193.025
100,"SHA-2_192-bit, standard_robust",399.746,3795.391,3.106,4198.243
