Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHA-2 256-bit, standard, robust",331.355,4012.571,5.709,4349.635
2,"SHA-2 256-bit, standard, robust",332.671,3987.639,5.863,4326.173
3,"SHA-2 256-bit, standard, robust",326.942,3979.438,5.664,4312.044
4,"SHA-2 256-bit, standard, robust",328.885,3983.743,5.815,4318.443
5,"SHA-2 256-bit, standard, robust",329.865,3986.969,5.637,4322.471
6,"SHA-2 256-bit, standard, robust",325.142,3961.161,5.339,4291.642
7,"SHA-2 256-bit, standard, robust",327.073,3949.771,5.746,4282.590
8,"SHA-2 256-bit, standard, robust",325.389,3948.723,5.591,4279.703
9,"SHA-2 256-bit, standard, robust",324.801,3973.532,5.521,4303.853
10,"SHA-2 256-bit, standard, robust",323.874,3920.097,5.374,4249.345
11,"SHA-2 256-bit, standard, robust",322.814,3927.499,5.600,4255.913
12,"SHA-2 256-bit, standard, robust",322.581,3969.043,5.671,4297.294
13,"SHA-2 256-bit, standard, robust",331.180,3949.267,5.404,4285.851
14,"SHA-2 256-bit, standard, robust",324.362,3928.358,5.870,4258.590
15,"SHA-2 256-bit, standard, robust",324.398,3943.509,5.653,4273.560
16,"SHA-2 256-bit, standard, robust",323.245,3932.176,5.462,4260.882
17,"SHA-2 256-bit, standard, robust",326.780,3965.645,5.679,4298.104
18,"SHA-2 256-bit, standard, robust",327.001,3932.473,5.625,4265.099
19,"SHA-2 256-bit, standard, robust",322.639,3985.918,5.683,4314.240
20,"SHA-2 256-bit, standard, robust",326.409,3944.989,5.740,4277.137
21,"SHA-2 256-bit, standard, robust",325.155,3969.292,5.522,4299.968
22,"SHA-2 256-bit, standard, robust",321.896,3946.535,5.529,4273.960
23,"SHA-2 256-bit, standard, robust",326.258,3937.214,5.646,4269.118
24,"SHA-2 256-bit, standard, robust",321.973,3915.132,5.800,4242.906
25,"SHA-2 256-bit, standard, robust",322.385,3909.560,5.607,4237.552
26,"SHA-2 256-bit, standard, robust",323.158,3939.745,5.450,4268.353
