Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-128, standard_robust",318.373,2734.835,3.856,3057.064
2,"SHAKE-128, standard_robust",320.515,2683.876,2.498,3006.889
3,"SHAKE-128, standard_robust",313.650,2682.953,2.506,2999.109
4,"SHAKE-128, standard_robust",315.258,2718.782,2.480,3036.520
5,"SHAKE-128, standard_robust",316.096,2734.526,2.507,3053.130
6,"SHAKE-128, standard_robust",314.306,2673.600,2.431,2990.338
7,"SHAKE-128, standard_robust",316.137,2726.093,2.442,3044.671
8,"SHAKE-128, standard_robust",314.299,2731.256,2.415,3047.971
9,"SHAKE-128, standard_robust",317.379,2680.146,2.372,2999.898
10,"SHAKE-128, standard_robust",315.801,2694.844,2.356,3013.001
11,"SHAKE-128, standard_robust",314.770,2698.491,2.365,3015.626
12,"SHAKE-128, standard_robust",313.490,2717.017,2.424,3032.931
13,"SHAKE-128, standard_robust",318.139,2702.998,2.300,3023.437
14,"SHAKE-128, standard_robust",315.639,2681.833,2.409,2999.881
15,"SHAKE-128, standard_robust",313.722,2717.250,2.505,3033.478
16,"SHAKE-128, standard_robust",315.935,2680.103,2.359,2998.398
17,"SHAKE-128, standard_robust",315.803,2721.744,2.478,3040.024
18,"SHAKE-128, standard_robust",314.614,2677.683,2.690,2994.987
19,"SHAKE-128, standard_robust",316.568,2717.700,2.509,3036.777
20,"SHAKE-128, standard_robust",317.232,2722.198,2.453,3041.884
21,"SHAKE-128, standard_robust",313.752,2688.204,2.639,3004.595
22,"SHAKE-128, standard_robust",315.503,2691.832,2.449,3009.783
23,"SHAKE-128, standard_robust",315.727,2738.807,2.390,3056.925
24,"SHAKE-128, standard_robust",314.212,2703.422,2.601,3020.235
25,"SHAKE-128, standard_robust",315.232,2725.362,2.674,3043.268
26,"SHAKE-128, standard_robust",315.067,2691.773,2.587,3009.427
27,"SHAKE-128, standard_robust",317.807,2687.724,2.305,3007.836
28,"SHAKE-128, standard_robust",314.229,2679.043,2.569,2995.841
29,"SHAKE-128, standard_robust",314.496,2721.291,2.656,3038.444
30,"SHAKE-128, standard_robust",315.564,2688.196,2.512,3006.272
31,"SHAKE-128, standard_robust",317.856,2709.186,2.797,3029.838
32,"SHAKE-128, standard_robust",316.893,2712.485,2.713,3032.091
33,"SHAKE-128, standard_robust",316.036,2742.352,2.588,3060.976
34,"SHAKE-128, standard_robust",318.273,2700.778,2.399,3021.450
35,"SHAKE-128, standard_robust",322.224,2721.928,2.391,3046.543
36,"SHAKE-128, standard_robust",313.893,2692.960,2.461,3009.314
37,"SHAKE-128, standard_robust",314.540,2736.232,2.686,3053.458
38,"SHAKE-128, standard_robust",317.460,2744.795,2.442,3064.696
39,"SHAKE-128, standard_robust",326.815,2824.821,2.679,3154.314
40,"SHAKE-128, standard_robust",340.371,2764.104,2.527,3107.002
41,"SHAKE-128, standard_robust",314.259,2731.804,2.438,3048.500
42,"SHAKE-128, standard_robust",316.694,2730.542,2.340,3049.576
43,"SHAKE-128, standard_robust",322.918,2705.261,2.467,3030.645
44,"SHAKE-128, standard_robust",316.933,2729.218,2.505,3048.656
45,"SHAKE-128, standard_robust",319.949,2736.406,2.328,3058.683
46,"SHAKE-128, standard_robust",319.722,2722.908,2.478,3045.108
47,"SHAKE-128, standard_robust",319.233,2707.079,2.588,3028.899
48,"SHAKE-128, standard_robust",348.161,2726.572,2.463,3077.196
49,"SHAKE-128, standard_robust",328.503,2708.067,2.588,3039.159
50,"SHAKE-128, standard_robust",314.207,2750.083,2.461,3066.751
51,"SHAKE-128, standard_robust",324.572,2704.273,2.412,3031.258
52,"SHAKE-128, standard_robust",332.598,2692.496,2.491,3027.584
53,"SHAKE-128, standard_robust",315.784,2725.075,2.461,3043.320
54,"SHAKE-128, standard_robust",316.153,2710.550,2.543,3029.245
55,"SHAKE-128, standard_robust",316.425,2695.617,2.496,3014.538
56,"SHAKE-128, standard_robust",318.276,2691.395,2.517,3012.188
57,"SHAKE-128, standard_robust",317.312,2710.440,2.503,3030.255
58,"SHAKE-128, standard_robust",314.640,2733.671,2.554,3050.865
59,"SHAKE-128, standard_robust",315.580,2693.767,2.404,3011.752
60,"SHAKE-128, standard_robust",314.991,2695.245,2.585,3012.820
61,"SHAKE-128, standard_robust",314.523,2733.184,2.569,3050.276
62,"SHAKE-128, standard_robust",315.085,2710.180,2.664,3027.930
63,"SHAKE-128, standard_robust",316.599,2726.619,2.737,3045.955
