Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-256, robust",18.864,391.537,10.406,420.807
2,"SHAKE-256, robust",19.369,388.638,10.455,418.462
3,"SHAKE-256, robust",18.794,388.879,10.196,417.869
4,"SHAKE-256, robust",18.826,388.042,10.236,417.104
5,"SHAKE-256, robust",18.855,389.629,10.465,418.949
6,"SHAKE-256, robust",18.889,388.014,9.972,416.876
7,"SHAKE-256, robust",18.917,388.092,10.366,417.375
8,"SHAKE-256, robust",18.730,388.605,10.293,417.628
9,"SHAKE-256, robust",18.815,389.983,10.694,419.492
10,"SHAKE-256, robust",18.783,389.171,10.437,418.390
11,"SHAKE-256, robust",18.906,388.505,10.252,417.662
12,"SHAKE-256, robust",18.829,388.727,10.765,418.321
13,"SHAKE-256, robust",18.865,390.455,10.424,419.745
14,"SHAKE-256, robust",18.868,389.129,10.146,418.143
15,"SHAKE-256, robust",19.016,389.589,10.634,419.240
16,"SHAKE-256, robust",18.865,391.120,10.582,420.567
17,"SHAKE-256, robust",18.957,388.924,10.447,418.328
18,"SHAKE-256, robust",18.868,388.390,10.355,417.614
19,"SHAKE-256, robust",19.001,389.495,10.724,419.219
20,"SHAKE-256, robust",18.942,390.008,10.213,419.163
21,"SHAKE-256, robust",18.991,388.396,10.644,418.031
22,"SHAKE-256, robust",18.816,389.433,10.571,418.820
23,"SHAKE-256, robust",18.896,389.989,10.300,419.186
24,"SHAKE-256, robust",18.774,390.609,10.460,419.843
25,"SHAKE-256, robust",18.819,389.740,10.399,418.959
26,"SHAKE-256, robust",18.904,409.297,10.570,438.770
27,"SHAKE-256, robust",18.829,390.095,10.493,419.417
28,"SHAKE-256, robust",18.759,389.035,10.174,417.968
29,"SHAKE-256, robust",18.828,390.169,10.558,419.556
30,"SHAKE-256, robust",18.916,389.715,10.552,419.184
31,"SHAKE-256, robust",18.981,390.695,10.693,420.369
32,"SHAKE-256, robust",19.293,388.085,10.418,417.795
33,"SHAKE-256, robust",18.810,389.217,10.703,418.731
34,"SHAKE-256, robust",18.895,389.921,10.597,419.412
35,"SHAKE-256, robust",18.921,389.598,10.568,419.087
36,"SHAKE-256, robust",18.816,389.330,10.565,418.710
37,"SHAKE-256, robust",18.788,388.715,10.485,417.988
38,"SHAKE-256, robust",18.833,389.722,10.591,419.147
39,"SHAKE-256, robust",18.836,389.377,10.319,418.532
40,"SHAKE-256, robust",18.780,388.396,10.457,417.633
41,"SHAKE-256, robust",18.748,388.470,10.517,417.735
42,"SHAKE-256, robust",18.801,389.588,10.248,418.638
43,"SHAKE-256, robust",18.896,388.768,10.577,418.241
44,"SHAKE-256, robust",18.802,388.408,10.577,417.787
45,"SHAKE-256, robust",19.013,388.266,10.171,417.450
46,"SHAKE-256, robust",18.925,389.560,10.744,419.229
47,"SHAKE-256, robust",18.891,388.372,10.493,417.757
48,"SHAKE-256, robust",18.892,389.029,10.158,418.079
49,"SHAKE-256, robust",18.816,392.737,10.518,422.072
50,"SHAKE-256, robust",18.851,393.015,10.483,422.349
51,"SHAKE-256, robust",18.931,390.947,10.402,420.280
52,"SHAKE-256, robust",18.745,389.442,10.514,418.701
53,"SHAKE-256, robust",19.035,390.393,10.408,419.836
54,"SHAKE-256, robust",18.825,390.445,10.622,419.892
55,"SHAKE-256, robust",20.916,411.924,10.132,442.973
56,"SHAKE-256, robust",18.817,390.787,10.333,419.937
57,"SHAKE-256, robust",19.072,392.772,10.855,422.699
58,"SHAKE-256, robust",19.115,437.921,14.163,471.198
59,"SHAKE-256, robust",19.730,392.868,10.342,422.940
60,"SHAKE-256, robust",18.806,388.661,10.574,418.041
61,"SHAKE-256, robust",18.939,389.115,10.385,418.439
62,"SHAKE-256, robust",18.801,388.933,10.305,418.039
63,"SHAKE-256, robust",18.750,389.482,10.568,418.799
64,"SHAKE-256, robust",18.773,393.446,10.192,422.411
65,"SHAKE-256, robust",18.805,394.183,10.346,423.335
66,"SHAKE-256, robust",19.203,388.475,10.346,418.024
67,"SHAKE-256, robust",18.795,388.724,10.558,418.078
68,"SHAKE-256, robust",18.806,388.189,11.152,418.147
69,"SHAKE-256, robust",18.839,424.391,10.381,453.611
70,"SHAKE-256, robust",21.856,404.591,10.646,437.094
71,"SHAKE-256, robust",18.913,387.488,10.180,416.581
72,"SHAKE-256, robust",18.874,393.085,10.610,422.570
73,"SHAKE-256, robust",19.217,417.682,12.487,449.386
74,"SHAKE-256, robust",19.572,389.300,10.314,419.186
75,"SHAKE-256, robust",18.792,388.609,10.523,417.924
76,"SHAKE-256, robust",18.797,390.192,10.320,419.309
77,"SHAKE-256, robust",18.854,389.021,10.444,418.319
78,"SHAKE-256, robust",19.083,389.715,10.140,418.939
79,"SHAKE-256, robust",19.084,398.816,10.162,428.061
80,"SHAKE-256, robust",18.806,390.708,10.572,420.086
81,"SHAKE-256, robust",18.821,388.823,10.672,418.316
82,"SHAKE-256, robust",18.806,388.333,10.482,417.622
83,"SHAKE-256, robust",18.807,389.318,10.825,418.950
84,"SHAKE-256, robust",18.887,404.849,10.381,434.118
85,"SHAKE-256, robust",19.503,393.021,10.243,422.766
86,"SHAKE-256, robust",18.877,390.110,10.090,419.077
87,"SHAKE-256, robust",18.992,391.874,10.410,421.276
88,"SHAKE-256, robust",18.985,389.713,10.472,419.169
89,"SHAKE-256, robust",18.813,388.490,10.460,417.764
90,"SHAKE-256, robust",18.949,391.459,10.627,421.035
91,"SHAKE-256, robust",18.854,396.497,10.434,425.784
92,"SHAKE-256, robust",18.869,393.088,11.286,423.242
93,"SHAKE-256, robust",19.096,395.178,10.396,424.670
94,"SHAKE-256, robust",18.783,410.026,10.672,439.481
95,"SHAKE-256, robust",19.543,391.559,10.335,421.436
96,"SHAKE-256, robust",18.904,390.106,10.416,419.426
97,"SHAKE-256, robust",18.857,389.981,10.318,419.156
98,"SHAKE-256, robust",18.816,395.840,10.143,424.799
99,"SHAKE-256, robust",18.977,390.072,10.676,419.725
100,"SHAKE-256, robust",19.035,394.412,10.759,424.207
