Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-256, robust",19.190,395.924,10.517,425.631
2,"SHAKE-256, robust",20.388,394.990,10.684,426.062
3,"SHAKE-256, robust",19.281,393.588,10.977,423.846
4,"SHAKE-256, robust",19.188,394.573,10.740,424.500
5,"SHAKE-256, robust",20.236,435.388,12.093,467.717
6,"SHAKE-256, robust",19.176,395.711,10.538,425.425
7,"SHAKE-256, robust",19.224,393.598,10.571,423.393
8,"SHAKE-256, robust",19.208,394.455,10.298,423.961
9,"SHAKE-256, robust",19.274,396.753,11.037,427.064
10,"SHAKE-256, robust",19.170,394.217,10.675,424.061
11,"SHAKE-256, robust",19.519,394.326,10.636,424.481
12,"SHAKE-256, robust",19.258,394.500,10.407,424.165
13,"SHAKE-256, robust",19.476,396.994,10.713,427.183
14,"SHAKE-256, robust",20.193,412.793,11.042,444.029
15,"SHAKE-256, robust",19.063,392.897,10.775,422.736
16,"SHAKE-256, robust",19.010,395.454,10.382,424.846
17,"SHAKE-256, robust",19.203,396.901,13.110,429.215
18,"SHAKE-256, robust",21.516,393.299,10.467,425.282
19,"SHAKE-256, robust",19.325,394.324,10.241,423.890
20,"SHAKE-256, robust",19.236,395.986,10.477,425.699
21,"SHAKE-256, robust",19.197,393.285,10.304,422.786
22,"SHAKE-256, robust",19.278,393.881,10.554,423.712
23,"SHAKE-256, robust",19.206,411.220,10.930,441.355
24,"SHAKE-256, robust",25.696,404.432,10.819,440.947
25,"SHAKE-256, robust",19.198,394.218,10.383,423.799
26,"SHAKE-256, robust",19.272,394.548,10.908,424.728
27,"SHAKE-256, robust",19.190,394.456,10.285,423.931
28,"SHAKE-256, robust",19.150,399.154,10.383,428.687
29,"SHAKE-256, robust",20.111,396.740,10.787,427.637
30,"SHAKE-256, robust",19.905,394.151,10.406,424.462
31,"SHAKE-256, robust",19.157,397.966,10.620,427.742
32,"SHAKE-256, robust",19.156,393.664,10.605,423.425
33,"SHAKE-256, robust",19.423,398.004,10.632,428.058
34,"SHAKE-256, robust",19.199,394.622,10.890,424.712
35,"SHAKE-256, robust",19.093,397.307,10.540,426.941
36,"SHAKE-256, robust",19.171,394.621,10.706,424.497
37,"SHAKE-256, robust",19.157,395.633,10.427,425.217
38,"SHAKE-256, robust",19.180,394.558,10.332,424.070
39,"SHAKE-256, robust",19.228,399.189,10.758,429.175
40,"SHAKE-256, robust",19.124,395.378,10.628,425.130
41,"SHAKE-256, robust",19.178,395.264,10.918,425.360
42,"SHAKE-256, robust",19.249,437.368,10.635,467.252
43,"SHAKE-256, robust",19.218,393.200,10.836,423.254
44,"SHAKE-256, robust",19.266,393.894,10.726,423.886
45,"SHAKE-256, robust",19.213,393.194,10.324,422.730
46,"SHAKE-256, robust",19.245,395.861,10.583,425.689
47,"SHAKE-256, robust",19.319,395.751,10.722,425.792
48,"SHAKE-256, robust",19.215,395.578,10.803,425.596
49,"SHAKE-256, robust",19.198,395.501,10.713,425.413
50,"SHAKE-256, robust",19.132,396.857,10.699,426.688
51,"SHAKE-256, robust",19.125,418.152,11.238,448.514
52,"SHAKE-256, robust",25.836,403.390,10.568,439.793
53,"SHAKE-256, robust",19.252,394.354,10.809,424.415
54,"SHAKE-256, robust",19.205,398.069,10.537,427.811
55,"SHAKE-256, robust",19.193,393.706,10.568,423.466
56,"SHAKE-256, robust",19.168,393.637,10.741,423.546
57,"SHAKE-256, robust",19.093,396.425,10.499,426.017
58,"SHAKE-256, robust",20.144,394.444,10.491,425.079
59,"SHAKE-256, robust",19.189,396.332,10.694,426.214
60,"SHAKE-256, robust",19.163,397.624,14.813,431.600
61,"SHAKE-256, robust",20.411,398.023,10.654,429.088
62,"SHAKE-256, robust",19.246,395.055,10.424,424.725
63,"SHAKE-256, robust",19.199,394.847,10.543,424.588
64,"SHAKE-256, robust",19.162,394.983,10.863,425.008
65,"SHAKE-256, robust",19.177,397.102,10.505,426.785
66,"SHAKE-256, robust",19.233,394.598,10.897,424.728
67,"SHAKE-256, robust",19.238,394.463,10.206,423.907
68,"SHAKE-256, robust",21.580,394.219,11.503,427.301
69,"SHAKE-256, robust",19.239,396.490,10.864,426.593
70,"SHAKE-256, robust",19.247,407.364,10.484,437.095
71,"SHAKE-256, robust",19.232,393.852,10.259,423.343
72,"SHAKE-256, robust",19.144,395.873,10.778,425.795
73,"SHAKE-256, robust",19.235,394.124,10.629,423.988
74,"SHAKE-256, robust",19.154,394.669,10.416,424.238
75,"SHAKE-256, robust",19.168,393.883,10.592,423.644
76,"SHAKE-256, robust",19.196,395.145,10.808,425.149
77,"SHAKE-256, robust",19.118,394.455,10.290,423.864
78,"SHAKE-256, robust",19.223,394.251,10.526,424.000
79,"SHAKE-256, robust",19.218,398.470,10.578,428.265
80,"SHAKE-256, robust",19.257,397.510,10.820,427.587
81,"SHAKE-256, robust",19.265,394.272,10.698,424.235
82,"SHAKE-256, robust",19.205,394.289,10.560,424.054
83,"SHAKE-256, robust",19.156,395.046,10.398,424.600
84,"SHAKE-256, robust",19.165,395.241,10.332,424.737
85,"SHAKE-256, robust",19.251,394.642,10.858,424.751
86,"SHAKE-256, robust",19.172,393.878,10.698,423.748
87,"SHAKE-256, robust",19.175,395.990,10.517,425.683
88,"SHAKE-256, robust",19.128,418.833,13.359,451.319
89,"SHAKE-256, robust",26.018,394.962,10.575,431.554
90,"SHAKE-256, robust",19.201,393.983,10.548,423.732
91,"SHAKE-256, robust",19.209,397.489,10.826,427.524
92,"SHAKE-256, robust",19.228,393.682,10.518,423.429
93,"SHAKE-256, robust",19.217,394.951,10.455,424.622
94,"SHAKE-256, robust",19.341,395.772,10.280,425.393
95,"SHAKE-256, robust",21.564,394.772,10.245,426.580
96,"SHAKE-256, robust",19.216,396.052,10.893,426.161
97,"SHAKE-256, robust",19.165,394.847,10.595,424.607
98,"SHAKE-256, robust",19.096,423.915,10.437,453.447
99,"SHAKE-256, robust",19.091,394.520,10.430,424.041
100,"SHAKE-256, robust",19.158,394.267,10.815,424.239
