Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-256, standard, robust",302.855,3804.843,5.004,4112.701
2,"SHAKE-256, standard, robust",302.260,3772.442,5.240,4079.942
3,"SHAKE-256, standard, robust",306.127,3756.453,5.022,4067.602
4,"SHAKE-256, standard, robust",302.664,3736.336,5.223,4044.223
5,"SHAKE-256, standard, robust",300.497,3734.979,5.182,4040.659
6,"SHAKE-256, standard, robust",301.759,3748.740,5.210,4055.709
7,"SHAKE-256, standard, robust",302.999,3762.440,4.931,4070.371
8,"SHAKE-256, standard, robust",300.565,3763.701,5.217,4069.484
9,"SHAKE-256, standard, robust",303.586,3755.205,5.121,4063.911
10,"SHAKE-256, standard, robust",303.244,3741.761,5.242,4050.247
11,"SHAKE-256, standard, robust",300.733,3753.619,5.386,4059.737
12,"SHAKE-256, standard, robust",300.641,3739.266,5.416,4045.323
13,"SHAKE-256, standard, robust",300.271,3776.114,4.993,4081.377
14,"SHAKE-256, standard, robust",300.236,3753.043,5.125,4058.404
15,"SHAKE-256, standard, robust",301.596,3732.687,5.316,4039.599
16,"SHAKE-256, standard, robust",301.614,3771.886,5.302,4078.802
17,"SHAKE-256, standard, robust",301.841,3788.522,5.196,4095.558
18,"SHAKE-256, standard, robust",305.206,3777.308,4.811,4087.325
19,"SHAKE-256, standard, robust",301.717,3757.242,5.278,4064.237
20,"SHAKE-256, standard, robust",301.041,3760.853,5.150,4067.044
21,"SHAKE-256, standard, robust",302.464,3748.086,5.141,4055.691
22,"SHAKE-256, standard, robust",302.313,3761.333,5.164,4068.810
23,"SHAKE-256, standard, robust",300.676,3744.525,5.279,4050.481
24,"SHAKE-256, standard, robust",302.000,3769.628,5.144,4076.771
25,"SHAKE-256, standard, robust",301.845,3757.373,5.376,4064.594
26,"SHAKE-256, standard, robust",302.947,3773.876,5.137,4081.959
27,"SHAKE-256, standard, robust",305.959,3771.068,5.243,4082.269
28,"SHAKE-256, standard, robust",303.044,3803.226,5.297,4111.566
29,"SHAKE-256, standard, robust",313.422,3811.946,5.057,4130.425
30,"SHAKE-256, standard, robust",305.262,3781.835,5.232,4092.329
31,"SHAKE-256, standard, robust",304.940,3759.941,4.978,4069.858
32,"SHAKE-256, standard, robust",303.312,3779.126,5.411,4087.849
33,"SHAKE-256, standard, robust",303.085,3826.483,5.050,4134.618
34,"SHAKE-256, standard, robust",303.155,3746.669,5.121,4054.946
35,"SHAKE-256, standard, robust",303.307,3788.674,5.311,4097.292
36,"SHAKE-256, standard, robust",310.746,3754.726,5.339,4070.812
37,"SHAKE-256, standard, robust",300.882,3750.021,5.203,4056.105
38,"SHAKE-256, standard, robust",306.052,3763.728,5.096,4074.876
39,"SHAKE-256, standard, robust",302.315,3801.644,5.290,4109.249
40,"SHAKE-256, standard, robust",303.085,3764.895,5.359,4073.339
41,"SHAKE-256, standard, robust",302.876,3760.069,5.183,4068.128
42,"SHAKE-256, standard, robust",303.987,3752.098,5.226,4061.312
43,"SHAKE-256, standard, robust",301.695,3747.532,5.181,4054.408
44,"SHAKE-256, standard, robust",302.700,3773.777,5.091,4081.569
45,"SHAKE-256, standard, robust",303.123,3771.413,5.217,4079.754
46,"SHAKE-256, standard, robust",314.372,3757.805,5.353,4077.530
47,"SHAKE-256, standard, robust",304.421,3755.592,5.263,4065.277
48,"SHAKE-256, standard, robust",302.521,3755.240,4.997,4062.757
49,"SHAKE-256, standard, robust",300.061,3770.687,5.083,4075.832
50,"SHAKE-256, standard, robust",303.562,3753.195,5.057,4061.814
51,"SHAKE-256, standard, robust",302.660,3765.651,5.035,4073.346
52,"SHAKE-256, standard, robust",303.920,3745.830,5.061,4054.811
53,"SHAKE-256, standard, robust",302.724,3753.269,5.445,4061.438
54,"SHAKE-256, standard, robust",303.871,3772.809,5.376,4082.056
55,"SHAKE-256, standard, robust",304.789,3741.680,5.193,4051.662
56,"SHAKE-256, standard, robust",303.494,3745.370,5.167,4054.032
57,"SHAKE-256, standard, robust",303.759,3759.610,5.298,4068.667
58,"SHAKE-256, standard, robust",301.535,3793.286,5.376,4100.197
59,"SHAKE-256, standard, robust",301.971,3770.778,5.296,4078.045
60,"SHAKE-256, standard, robust",302.235,3758.209,5.159,4065.603
61,"SHAKE-256, standard, robust",307.656,3770.667,5.092,4083.414
62,"SHAKE-256, standard, robust",304.478,3776.301,4.985,4085.764
63,"SHAKE-256, standard, robust",300.983,3762.065,5.098,4068.146
64,"SHAKE-256, standard, robust",308.453,3749.958,5.164,4063.575
65,"SHAKE-256, standard, robust",304.760,3750.588,5.408,4060.755
66,"SHAKE-256, standard, robust",302.421,3749.312,5.058,4056.792
67,"SHAKE-256, standard, robust",304.888,3753.074,5.310,4063.271
68,"SHAKE-256, standard, robust",301.340,3752.313,5.337,4058.991
69,"SHAKE-256, standard, robust",302.052,3753.951,5.066,4061.070
70,"SHAKE-256, standard, robust",307.032,3754.806,5.178,4067.016
71,"SHAKE-256, standard, robust",301.251,3746.240,5.277,4052.768
72,"SHAKE-256, standard, robust",300.751,3764.362,5.260,4070.374
73,"SHAKE-256, standard, robust",303.264,3738.073,5.037,4046.374
74,"SHAKE-256, standard, robust",303.456,3764.121,5.199,4072.776
75,"SHAKE-256, standard, robust",301.451,3753.920,4.996,4060.368
76,"SHAKE-256, standard, robust",302.903,3749.841,5.070,4057.815
77,"SHAKE-256, standard, robust",302.891,3767.480,5.427,4075.797
78,"SHAKE-256, standard, robust",303.110,3774.567,5.188,4082.865
79,"SHAKE-256, standard, robust",302.975,3758.418,5.206,4066.600
80,"SHAKE-256, standard, robust",300.901,3748.092,5.242,4054.235
81,"SHAKE-256, standard, robust",303.400,3760.340,5.159,4068.900
82,"SHAKE-256, standard, robust",300.734,3750.221,5.229,4056.184
83,"SHAKE-256, standard, robust",302.156,3749.591,5.057,4056.804
84,"SHAKE-256, standard, robust",303.543,3751.426,5.501,4060.471
85,"SHAKE-256, standard, robust",304.613,3781.656,5.440,4091.709
86,"SHAKE-256, standard, robust",307.634,3790.560,5.193,4103.387
87,"SHAKE-256, standard, robust",302.035,3760.958,5.206,4068.198
88,"SHAKE-256, standard, robust",302.872,3773.440,5.276,4081.588
89,"SHAKE-256, standard, robust",302.672,3778.269,5.217,4086.158
90,"SHAKE-256, standard, robust",304.079,3740.055,5.188,4049.322
91,"SHAKE-256, standard, robust",300.192,3750.440,5.376,4056.008
