Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
1,0.2040,0.5190,0.2200,0.9430
2,0.1870,0.3700,0.2270,0.7840
3,0.1830,0.3650,0.2140,0.7620
4,0.1820,1.5040,0.2130,1.8990
5,0.1830,0.3620,0.2230,0.7680
6,0.1850,1.4030,0.2130,1.8010
7,0.1830,0.6880,0.2150,1.0860
8,0.1820,0.3730,0.2190,0.7740
9,0.1870,0.5380,0.2200,0.9450
10,0.1880,0.9700,0.2190,1.3770
11,0.1860,1.6300,0.2170,2.0330
12,0.1850,0.6670,0.2180,1.0700
13,0.1850,0.9780,0.2190,1.3820
14,0.1880,0.3710,0.2190,0.7780
15,0.1860,0.3700,0.2190,0.7750
16,0.1870,0.3710,0.2180,0.7760
17,0.1870,1.8440,0.2170,2.2480
18,0.1850,0.5000,0.2230,0.9080
19,0.1970,0.5210,0.2410,0.9590
20,0.1890,0.6510,0.2190,1.0590
21,0.1910,0.3760,0.2180,0.7850
22,0.1850,0.8330,0.2170,1.2350
23,0.1860,0.3660,0.2150,0.7670
24,0.1820,0.4940,0.2140,0.8900
25,0.1840,0.6590,0.2140,1.0570
26,0.1830,0.7930,0.2150,1.1910
27,0.1840,1.1280,0.2170,1.5290
28,0.1850,0.5020,0.2220,0.9090
29,0.1880,1.2440,0.2140,1.6460
30,0.1820,0.5240,0.2140,0.9200
31,0.1830,1.1160,0.2170,1.5160
32,0.1870,1.3520,0.2150,1.7540
33,0.1870,0.7580,0.2150,1.1600
34,0.1850,0.3640,0.2150,0.7640
35,0.1820,0.9200,0.2150,1.3170
36,0.1840,0.3640,0.2160,0.7640
37,0.1880,0.3700,0.2190,0.7770
38,0.1870,0.3690,0.2180,0.7740
39,0.1860,0.3700,0.2190,0.7750
40,0.1860,0.3690,0.2180,0.7730
41,0.1850,1.5680,0.2140,1.9670
42,0.1850,0.4940,0.2140,0.8930
43,0.1820,1.5790,0.2150,1.9760
44,0.1850,0.8170,0.2150,1.2170
45,0.1820,0.3630,0.2150,0.7600
46,0.1840,0.4990,0.2130,0.8960
47,0.1820,0.8180,0.2130,1.2130
48,0.1830,0.6230,0.2130,1.0190
49,0.1830,0.4950,0.2160,0.8940
50,0.1840,0.6250,0.2140,1.0230
51,0.1810,0.3620,0.2130,0.7560
52,0.1810,0.6880,0.2130,1.0820
53,0.1820,1.7990,0.2140,2.1950
54,0.1830,1.2100,0.2170,1.6100
55,0.1830,0.4930,0.2130,0.8890
56,0.2030,0.7920,0.2140,1.2090
57,0.1820,1.0680,0.2190,1.4690
58,0.1850,0.3710,0.2180,0.7740
59,0.1840,0.7050,0.2190,1.1080
60,0.1850,0.9830,0.2260,1.3940
61,0.1950,0.6600,0.2200,1.0750
62,0.1870,2.0930,0.2230,2.5030
