Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
1,0.1240,1.8520,0.1310,2.1070
2,0.1130,0.3280,0.1290,0.5700
3,0.1110,0.5970,0.1290,0.8370
4,0.1110,0.8930,0.1300,1.1340
5,0.1090,1.2800,0.1290,1.5180
6,0.1110,0.2240,0.1290,0.4640
7,0.1120,0.2240,0.1290,0.4650
8,0.1100,0.6020,0.1280,0.8400
9,0.1110,0.3060,0.1290,0.5460
10,0.1110,0.2240,0.1290,0.4640
11,0.1100,0.3070,0.1290,0.5460
12,0.1110,0.8990,0.1310,1.1410
13,0.1230,0.7210,0.1290,0.9730
14,0.1110,0.3270,0.1300,0.5680
15,0.1140,0.3100,0.1300,0.5540
16,0.1120,0.2240,0.1300,0.4660
17,0.1110,0.2230,0.1290,0.4630
18,0.1120,0.4270,0.1300,0.6690
19,0.1120,0.2240,0.1290,0.4650
20,0.1110,0.3070,0.1290,0.5470
21,0.1120,0.8650,0.1300,1.1070
22,0.1100,0.3070,0.1300,0.5470
23,0.1120,0.4130,0.1280,0.6530
24,0.1110,0.3900,0.1280,0.6290
25,0.1100,0.3060,0.1300,0.5460
26,0.1100,0.4930,0.1290,0.7320
27,0.1120,0.3270,0.1290,0.5680
28,0.1120,0.7860,0.1290,1.0270
29,0.1110,0.5570,0.1320,0.8000
30,0.1140,0.5220,0.1320,0.7680
31,0.1170,1.1860,0.1320,1.4350
32,0.1300,0.3990,0.1300,0.6590
33,0.1110,0.6800,0.1290,0.9200
34,0.1110,0.8890,0.1300,1.1300
35,0.1110,0.3070,0.1290,0.5470
36,0.1110,0.5210,0.1300,0.7620
37,0.1110,0.7000,0.1290,0.9400
38,0.1100,0.7840,0.1280,1.0220
39,0.1110,1.0330,0.1290,1.2730
40,0.1120,0.8670,0.1290,1.1080
41,0.1100,0.3070,0.1290,0.5460
42,0.1100,1.3820,0.1290,1.6210
43,0.1140,0.3070,0.1290,0.5500
44,0.1110,0.3070,0.1290,0.5470
45,0.1100,0.6200,0.1290,0.8590
46,0.1100,0.3900,0.1300,0.6300
47,0.1090,0.2240,0.1290,0.4620
48,0.1120,1.0140,0.1290,1.2550
49,0.1100,0.3910,0.1290,0.6300
50,0.1110,0.3270,0.1290,0.5670
51,0.1120,0.3270,0.1290,0.5680
52,0.1090,0.2240,0.1290,0.4620
53,0.1100,0.4750,0.1290,0.7140
54,0.1090,0.6810,0.1290,0.9190
55,0.1110,1.4460,0.1290,1.6860
56,0.1100,0.4330,0.1290,0.6720
57,0.1110,0.2230,0.1290,0.4630
58,0.1110,0.2230,0.1290,0.4630
59,0.1090,0.5970,0.1290,0.8350
60,0.1090,0.3070,0.1290,0.5450
61,0.1120,0.7000,0.1320,0.9440
62,0.1120,0.5140,0.1290,0.7550
63,0.1100,0.3280,0.1290,0.5670
64,0.1110,0.3890,0.1290,0.6290
65,0.1110,0.2240,0.1290,0.4640
66,0.1110,0.2240,0.1290,0.4640
67,0.1120,0.2260,0.1290,0.4670
68,0.1110,0.2240,0.1290,0.4640
69,0.1100,0.4930,0.1290,0.7320
70,0.1100,0.4120,0.1290,0.6510
71,0.1110,0.2240,0.1290,0.4640
72,0.1100,0.3080,0.1290,0.5470
73,0.1140,0.6180,0.1290,0.8610
74,0.1120,0.2240,0.1290,0.4650
75,0.1110,0.3070,0.1290,0.5470
76,0.1110,0.4110,0.1290,0.6510
77,0.1120,2.3210,0.1290,2.5620
78,0.1110,0.2240,0.1290,0.4640
79,0.1110,0.5560,0.1290,0.7960
80,0.1110,0.2240,0.1290,0.4640
81,0.1110,0.6930,0.1300,0.9340
82,0.1110,0.8980,0.2060,1.2150
83,0.1790,0.5240,0.2070,0.9100
84,0.1790,0.3590,0.2080,0.7460
85,0.1790,0.9310,0.2080,1.3180
86,0.1800,1.3930,0.2070,1.7800
87,0.1780,1.1000,0.2080,1.4860
88,0.1790,0.3590,0.2070,0.7450
89,0.1790,4.6410,0.2120,5.0320
90,0.1800,0.3860,0.2090,0.7750
91,0.1780,1.6060,0.2070,1.9910
92,0.1830,0.3650,0.2100,0.7580
93,0.2010,0.5000,0.2100,0.9110
94,0.1790,0.6590,0.2070,1.0450
95,0.1780,0.8240,0.2080,1.2100
96,0.1790,1.2650,0.2150,1.6590
97,0.1800,1.1530,0.2150,1.5480
98,0.1820,0.3880,0.2130,0.7830
99,0.1860,0.6400,0.2130,1.0390
100,0.1830,1.4130,0.2110,1.8070
101,0.1870,0.3910,0.2300,0.8080
102,0.1890,0.7260,0.2160,1.1310
