Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
1,0.191,0.235,0.244,0.670
2,0.177,0.216,0.242,0.635
3,0.176,0.216,0.242,0.634
4,0.176,0.215,0.242,0.633
5,0.177,0.216,0.242,0.635
6,0.174,0.215,0.241,0.630
7,0.176,0.226,0.242,0.644
8,0.177,0.216,0.242,0.635
9,0.176,0.215,0.241,0.632
10,0.176,0.216,0.242,0.634
11,0.175,0.215,0.240,0.630
12,0.177,0.217,0.242,0.636
13,0.178,0.217,0.249,0.644
14,0.176,0.215,0.242,0.633
15,0.179,0.218,0.244,0.641
16,0.176,0.217,0.241,0.634
17,0.174,0.215,0.241,0.630
18,0.180,0.219,0.246,0.645
19,0.176,0.215,0.241,0.632
20,0.202,0.216,0.242,0.660
21,0.175,0.216,0.242,0.633
22,0.176,0.216,0.242,0.634
23,0.176,0.217,0.241,0.634
24,0.177,0.217,0.243,0.637
25,0.176,0.216,0.241,0.633
26,0.200,0.218,0.243,0.661
27,0.176,0.216,0.242,0.634
28,0.176,0.216,0.242,0.634
29,0.176,0.216,0.242,0.634
30,0.177,0.217,0.242,0.636
31,0.176,0.216,0.242,0.634
32,0.176,0.220,0.241,0.637
33,0.176,0.216,0.242,0.634
34,0.174,0.214,0.240,0.628
35,0.176,0.216,0.242,0.634
36,0.175,0.216,0.241,0.632
37,0.175,0.215,0.241,0.631
38,0.175,0.216,0.246,0.637
39,0.176,0.216,0.241,0.633
40,0.177,0.217,0.244,0.638
41,0.178,0.217,0.246,0.641
42,0.178,0.218,0.243,0.639
43,0.176,0.216,0.241,0.633
44,0.176,0.216,0.242,0.634
45,0.196,0.217,0.242,0.655
46,0.177,0.217,0.242,0.636
47,0.174,0.215,0.241,0.630
48,0.176,0.216,0.242,0.634
49,0.176,0.217,0.242,0.635
50,0.176,0.217,0.243,0.636
51,0.175,0.220,0.241,0.636
52,0.176,0.216,0.242,0.634
53,0.175,0.216,0.242,0.633
54,0.175,0.215,0.241,0.631
55,0.176,0.216,0.242,0.634
56,0.178,0.219,0.244,0.641
57,0.176,0.221,0.243,0.640
58,0.176,0.216,0.242,0.634
59,0.175,0.215,0.241,0.631
60,0.175,0.216,0.241,0.632
61,0.176,0.217,0.242,0.635
62,0.175,0.215,0.241,0.631
63,0.175,0.214,0.245,0.634
64,0.176,0.217,0.243,0.636
65,0.176,0.217,0.242,0.635
66,0.176,0.216,0.242,0.634
67,0.175,0.216,0.242,0.633
68,0.176,0.216,0.242,0.634
69,0.175,0.215,0.241,0.631
70,0.179,0.215,0.242,0.636
71,0.174,0.215,0.242,0.631
72,0.177,0.216,0.242,0.635
73,0.185,0.219,0.242,0.646
74,0.177,0.217,0.243,0.637
75,0.176,0.216,0.243,0.635
76,0.176,0.225,0.242,0.643
