Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
1,0.050,0.045,0.042,0.137
2,0.035,0.045,0.041,0.121
3,0.035,0.043,0.041,0.119
4,0.034,0.044,0.042,0.120
5,0.033,0.043,0.040,0.116
6,0.033,0.042,0.040,0.115
7,0.033,0.065,0.041,0.139
8,0.034,0.044,0.041,0.119
9,0.033,0.043,0.040,0.116
10,0.033,0.043,0.040,0.116
11,0.033,0.043,0.040,0.116
12,0.033,0.043,0.040,0.116
13,0.033,0.042,0.040,0.115
14,0.033,0.042,0.040,0.115
15,0.033,0.042,0.040,0.115
16,0.033,0.043,0.040,0.116
17,0.033,0.043,0.040,0.116
18,0.032,0.042,0.040,0.114
19,0.032,0.042,0.040,0.114
20,0.033,0.043,0.040,0.116
21,0.033,0.043,0.040,0.116
22,0.033,0.042,0.040,0.115
23,0.032,0.042,0.040,0.114
24,0.032,0.042,0.040,0.114
25,0.033,0.042,0.040,0.115
26,0.033,0.042,0.040,0.115
27,0.033,0.043,0.040,0.116
28,0.033,0.043,0.040,0.116
29,0.033,0.042,0.040,0.115
30,0.033,0.042,0.040,0.115
31,0.033,0.042,0.040,0.115
32,0.033,0.043,0.040,0.116
33,0.033,0.042,0.040,0.115
34,0.033,0.043,0.040,0.116
35,0.033,0.043,0.040,0.116
36,0.033,0.043,0.040,0.116
37,0.034,0.044,0.041,0.119
38,0.032,0.042,0.040,0.114
39,0.032,0.042,0.040,0.114
40,0.032,0.042,0.040,0.114
41,0.033,0.048,0.040,0.121
42,0.033,0.043,0.040,0.116
43,0.033,0.043,0.040,0.116
44,0.034,0.044,0.041,0.119
45,0.033,0.043,0.040,0.116
46,0.032,0.043,0.040,0.115
47,0.033,0.043,0.040,0.116
48,0.033,0.043,0.040,0.116
49,0.033,0.043,0.040,0.116
50,0.033,0.043,0.040,0.116
51,0.033,0.043,0.040,0.116
52,0.033,0.042,0.040,0.115
53,0.033,0.043,0.040,0.116
54,0.033,0.043,0.040,0.116
55,0.033,0.042,0.040,0.115
56,0.032,0.042,0.040,0.114
